x           y           z           G           L           A           T
-0.009900 0.000000 0.000000 436472.733915 675929.382886 439904.265050 1313.930000
-0.009700 0.000000 0.000000 436879.344970 734187.129972 440168.648309 1341.370000
-0.009500 0.000000 0.000000 437302.438876 794829.977336 440450.893648 1368.250000
-0.009300 0.000000 0.000000 437741.213235 857775.593073 440749.282764 1394.570000
-0.009100 0.000000 0.000000 438194.790060 922931.464298 441062.211226 1420.330000
-0.008900 0.000000 0.000000 438662.218562 990195.271800 441388.162756 1445.530000
-0.008700 0.000000 0.000000 439142.478187 1059455.296792 441725.687964 1470.170000
-0.008500 0.000000 0.000000 439634.481885 1130590.857186 442073.387951 1494.250000
-0.008300 0.000000 0.000000 440137.079598 1203472.770849 442429.900820 1517.770000
-0.008100 0.000000 0.000000 440649.061937 1277963.843373 442793.891197 1540.730000
-0.007900 0.000000 0.000000 441169.164044 1353919.377951 443164.042001 1563.130000
-0.007700 0.000000 0.000000 441696.069613 1431187.704978 443539.048201 1584.970000
-0.007500 0.000000 0.000000 442228.415059 1509610.729096 443917.612136 1606.250000
-0.007300 0.000000 0.000000 442764.793806 1589024.491415 444298.440240 1626.970000
-0.007100 0.000000 0.000000 443303.760697 1669259.744732 444680.240671 1647.130000
-0.006900 0.000000 0.000000 443843.836492 1750142.539606 445061.722171 1666.730000
-0.006700 0.000000 0.000000 444383.512444 1831494.819205 445441.593558 1685.770000
-0.006500 0.000000 0.000000 444921.254945 1913135.020920 445818.563565 1704.250000
-0.006300 0.000000 0.000000 445455.510212 1994878.682748 446191.341689 1722.170000
-0.006100 0.000000 0.000000 445984.709007 2076539.052567 446558.639223 1739.530000
-0.005900 0.000000 0.000000 446507.271385 2157927.698425 446919.170448 1756.330000
-0.005700 0.000000 0.000000 447021.611429 2238855.118050 447271.654485 1772.570000
-0.005500 0.000000 0.000000 447526.141991 2319131.345845 447614.817103 1788.250000
-0.005300 0.000000 0.000000 448019.279395 2398566.555674 447947.392783 1803.370000
-0.005100 0.000000 0.000000 448499.448117 2476971.657815 448268.126981 1817.930000
-0.004900 0.000000 0.000000 448965.085403 2554158.888504 448575.778168 1831.930000
-0.004700 0.000000 0.000000 449414.645833 2629942.390545 448869.120512 1845.370000
-0.004500 0.000000 0.000000 449846.605806 2704138.783544 449146.945858 1858.250000
-0.004300 0.000000 0.000000 450259.467940 2776567.722340 449408.066421 1870.570000
-0.004100 0.000000 0.000000 450651.765378 2847052.442299 449651.316770 1882.330000
-0.003900 0.000000 0.000000 451022.065981 2915420.290169 449875.556250 1893.530000
-0.003700 0.000000 0.000000 451368.976405 2981503.239269 450079.671110 1904.170000
-0.003500 0.000000 0.000000 451691.146050 3045138.387823 450262.576486 1914.250000
-0.003300 0.000000 0.000000 451987.270872 3106168.439319 450423.218282 1923.770000
-0.003100 0.000000 0.000000 452256.097044 3164442.163826 450560.574979 1932.730000
-0.002900 0.000000 0.000000 452496.424469 3219814.839251 450673.659025 1941.130000
-0.002700 0.000000 0.000000 452707.110117 3272148.671596 450761.518146 1948.970000
-0.002500 0.000000 0.000000 452887.071205 3321313.193291 450823.236375 1956.250000
-0.002300 0.000000 0.000000 453035.288189 3367185.638787 450857.934636 1962.970000
-0.002100 0.000000 0.000000 453150.807569 3409651.296598 450864.771123 1969.130000
-0.001900 0.000000 0.000000 453232.744513 3448603.837084 450842.941087 1974.730000
-0.001700 0.000000 0.000000 453280.285268 3483945.615280 450791.676257 1979.770000
-0.001500 0.000000 0.000000 453292.689384 3515587.948167 450710.243596 1984.250000
-0.001300 0.000000 0.000000 453269.291717 3543451.365813 450597.943442 1988.170000
-0.001100 0.000000 0.000000 453209.504225 3567465.835891 450454.106723 1991.530000
-0.000900 0.000000 0.000000 453112.817551 3587570.961108 450278.091425 1994.330000
-0.000700 0.000000 0.000000 452978.802378 3603716.149165 450069.277866 1996.570000
-0.000500 0.000000 0.000000 452807.110570 3615860.754903 449827.062574 1998.250000
-0.000300 0.000000 0.000000 452597.476082 3623974.194360 449550.850801 1999.370000
-0.000100 0.000000 0.000000 452349.715645 3628036.030509 449240.047080 1999.930000
0.000100 0.000000 0.000000 452060.994101 3627600.670540 448894.048162 1999.870000
0.000300 0.000000 0.000000 451714.915935 3620060.654805 448512.280857 1998.830000
0.000500 0.000000 0.000000 451308.988257 3605015.891489 448094.348332 1996.750000
0.000700 0.000000 0.000000 450843.710781 3582536.733470 447640.085198 1993.630000
0.000900 0.000000 0.000000 450319.838040 3552728.252185 447149.539416 1989.470000
0.001100 0.000000 0.000000 449738.375415 3515729.690028 446622.959984 1984.270000
0.001300 0.000000 0.000000 449100.573868 3471713.733355 446060.785638 1978.030000
0.001500 0.000000 0.000000 448407.923393 3420885.608742 445463.634009 1970.750000
0.001700 0.000000 0.000000 447662.145210 3363482.005848 444832.291267 1962.430000
0.001900 0.000000 0.000000 446865.182750 3299769.830908 444167.702092 1953.070000
0.002100 0.000000 0.000000 446019.191435 3230044.795510 443470.959550 1942.670000
0.002300 0.000000 0.000000 445126.527331 3154629.846025 442743.295083 1931.230000
0.002500 0.000000 0.000000 444189.734688 3073873.439702 441986.068343 1918.750000
0.002700 0.000000 0.000000 443211.532437 2988147.674108 441200.756968 1905.230000
0.002900 0.000000 0.000000 442194.799692 2897846.277274 440388.946034 1890.670000
0.003100 0.000000 0.000000 441142.560314 2803382.466566 439552.317471 1875.070000
0.003300 0.000000 0.000000 440057.966618 2705186.684975 438692.639099 1858.430000
0.003500 0.000000 0.000000 438944.282271 2603704.224185 437811.753597 1840.750000
0.003700 0.000000 0.000000 437804.864475 2499392.744441 436911.567284 1822.030000
0.003900 0.000000 0.000000 436643.145507 2392719.701933 435994.038589 1802.270000
0.004100 0.000000 0.000000 435462.613691 2284159.695035 435061.166613 1781.470000
0.004300 0.000000 0.000000 434266.793917 2174191.741456 434114.979502 1759.630000
0.004500 0.000000 0.000000 433059.227769 2063296.498996 433157.522757 1736.750000
0.004700 0.000000 0.000000 431843.453382 1951953.443274 432190.847574 1712.830000
0.004900 0.000000 0.000000 430622.985127 1840638.016482 431216.999467 1687.870000
0.005100 0.000000 0.000000 429401.293219 1729818.761856 430238.006529 1661.870000
0.005300 0.000000 0.000000 428181.783375 1619954.459256 429255.868552 1634.830000
0.005500 0.000000 0.000000 426967.776624 1511491.277892 428272.545697 1606.750000
0.005700 0.000000 0.000000 425762.489402 1404859.962916 427289.948206 1577.630000
0.005900 0.000000 0.000000 424569.014039 1300473.073254 426309.925942 1547.470000
0.006100 0.000000 0.000000 423390.299779 1198722.288738 425334.258703 1516.270000
0.006300 0.000000 0.000000 422229.134460 1099975.805258 424364.647010 1484.030000
0.006500 0.000000 0.000000 421088.126988 1004575.837316 423402.703447 1450.750000
0.006700 0.000000 0.000000 419969.690739 912836.248040 422449.944947 1416.430000
0.006900 0.000000 0.000000 418876.028048 825040.327392 421507.785479 1381.070000
0.007100 0.000000 0.000000 417809.115902 741438.739956 420577.529772 1344.670000
