x           y           z           G           L           T
0.005000 0.000000 0.000000 2776265.498055 2803342.880452 1875.063381
0.015000 0.000000 0.000000 2753321.737763 2743652.465408 1865.001442
0.025000 0.000000 0.000000 2730935.810692 2722992.382473 1861.480555
0.035000 0.000000 0.000000 2709071.905177 2705465.583302 1858.477898
0.045000 0.000000 0.000000 2687682.882629 2686131.735118 1855.148691
0.055000 0.000000 0.000000 2666728.193713 2665947.353313 1851.653794
0.065000 0.000000 0.000000 2646173.088627 2645702.232749 1848.128389
0.075000 0.000000 0.000000 2625986.611410 2625679.170306 1844.621694
0.085000 0.000000 0.000000 2606140.594259 2605935.930807 1841.144313
0.095000 0.000000 0.000000 2586609.219261 2586470.208446 1837.696412
0.105000 0.000000 0.000000 2567368.770506 2567270.773880 1834.276561
0.115000 0.000000 0.000000 2548397.438631 2548325.234379 1830.883079
0.125000 0.000000 0.000000 2529675.148324 2529619.780040 1827.513986
0.135000 0.000000 0.000000 2511183.405267 2511139.564341 1824.167063
0.145000 0.000000 0.000000 2492905.160239 2492869.601724 1820.840010
0.155000 0.000000 0.000000 2474824.687314 2474795.378392 1817.530558
0.165000 0.000000 0.000000 2456927.473639 2456903.098850 1814.236517
0.175000 0.000000 0.000000 2439200.119120 2439179.766350 1810.955795
0.185000 0.000000 0.000000 2421630.244857 2421613.220611 1807.686405
0.195000 0.000000 0.000000 2404206.409359 2404192.151323 1804.426477
0.205000 0.000000 0.000000 2386918.031713 2386906.076325 1801.174251
0.215000 0.000000 0.000000 2369755.321024 2369745.288275 1797.928076
0.225000 0.000000 0.000000 2352709.211569 2352700.788168 1794.686400
0.235000 0.000000 0.000000 2335771.303195 2335764.222895 1791.447758
0.245000 0.000000 0.000000 2318933.806523 2318927.833803 1788.210767
0.255000 0.000000 0.000000 2302189.492565 2302184.414273 1784.974123
0.265000 0.000000 0.000000 2285531.646372 2285527.271094 1781.736591
0.275000 0.000000 0.000000 2268954.024345 2268950.185883 1778.497002
0.285000 0.000000 0.000000 2252450.814912 2252447.375757 1775.254248
0.295000 0.000000 0.000000 2236016.602272 2236013.454532 1772.007274
0.305000 0.000000 0.000000 2219646.332956 2219643.396237 1768.755075
0.315000 0.000000 0.000000 2203335.284962 2203332.502125 1765.496689
0.325000 0.000000 0.000000 2187079.039264 2187076.371401 1762.231193
0.335000 0.000000 0.000000 2170873.453468 2170870.875222 1758.957699
0.345000 0.000000 0.000000 2154714.637445 2154712.133234 1755.675350
0.355000 0.000000 0.000000 2138598.930754 2138596.491978 1752.383316
0.365000 0.000000 0.000000 2122522.881693 2122520.504742 1749.080793
0.375000 0.000000 0.000000 2106483.227829 2106480.912632 1745.766998
0.385000 0.000000 0.000000 2090476.877865 2090474.626775 1742.441164
0.395000 0.000000 0.000000 2074500.894708 2074498.711611 1739.102541
0.405000 0.000000 0.000000 2058552.479634 2058550.369226 1735.750391
0.415000 0.000000 0.000000 2042628.957409 2042626.924645 1732.383985
0.425000 0.000000 0.000000 2026727.762296 2026725.811977 1729.002602
0.435000 0.000000 0.000000 2010846.424816 2010844.561317 1725.605524
0.445000 0.000000 0.000000 1994982.559184 1994980.786289 1722.192036
0.455000 0.000000 0.000000 1979133.851338 1979132.172148 1718.761420
0.465000 0.000000 0.000000 1963298.047459 1963296.464352 1715.312958
0.475000 0.000000 0.000000 1947472.942915 1947471.457533 1711.845922
0.485000 0.000000 0.000000 1931656.371549 1931654.984805 1708.359578
0.495000 0.000000 0.000000 1915846.195228 1915844.907329 1704.853182
0.505000 0.000000 0.000000 1900040.293591 1900039.104062 1701.325972
