x           y           z           G           L           T
0.002500 0.000000 0.000000 1076032.577182 3073873.439702 0.000000 1918.750000
0.002700 0.000000 0.000000 1053514.547608 2988147.674108 0.000000 1905.230000
0.002900 0.000000 0.000000 1029798.395488 2897846.277274 0.000000 1890.670000
0.003100 0.000000 0.000000 1004992.308643 2803382.466566 0.000000 1875.070000
0.003300 0.000000 0.000000 979208.984914 2705186.684975 0.000000 1858.430000
0.003500 0.000000 0.000000 952565.009837 2603704.224185 0.000000 1840.750000
0.003700 0.000000 0.000000 925180.207319 2499392.744441 0.000000 1822.030000
0.003900 0.000000 0.000000 897176.966077 2392719.701933 0.000000 1802.270000
0.004100 0.000000 0.000000 868679.544856 2284159.695035 0.000000 1781.470000
0.004300 0.000000 0.000000 839813.359541 2174191.741456 0.000000 1759.630000
0.004500 0.000000 0.000000 810704.255513 2063296.498996 0.000000 1736.750000
0.004700 0.000000 0.000000 781477.768741 1951953.443274 0.000000 1712.830000
0.004900 0.000000 0.000000 752258.379283 1840638.016482 0.000000 1687.870000
0.005100 0.000000 0.000000 723168.761052 1729818.761856 0.000000 1661.870000
0.005300 0.000000 0.000000 694329.031875 1619954.459256 0.000000 1634.830000
0.005500 0.000000 0.000000 665856.008034 1511491.277892 0.000000 1606.750000
0.005700 0.000000 0.000000 637862.467686 1404859.962916 0.000000 1577.630000
0.005900 0.000000 0.000000 610456.427685 1300473.073254 0.000000 1547.470000
0.006100 0.000000 0.000000 583740.438559 1198722.288738 0.000000 1516.270000
0.006300 0.000000 0.000000 557810.902530 1099975.805258 0.000000 1484.030000
0.006500 0.000000 0.000000 532757.419649 1004575.837316 0.000000 1450.750000
0.006700 0.000000 0.000000 508662.167308 912836.248040 0.000000 1416.430000
0.006900 0.000000 0.000000 485599.318548 825040.327392 0.000000 1381.070000
0.007100 0.000000 0.000000 463634.504770 741438.739956 0.000000 1344.670000
0.007300 0.000000 0.000000 442824.328611 662247.664369 0.000000 1307.230000
0.007500 0.000000 0.000000 423215.932962 587647.147131 0.000000 1268.750000
0.007700 0.000000 0.000000 404846.632224 517779.694191 0.000000 1229.230000
0.007900 0.000000 0.000000 387743.612130 452749.124378 0.000000 1188.670000
0.008100 0.000000 0.000000 371923.704585 392619.709411 0.000000 1147.070000
0.008300 0.000000 0.000000 357393.244202 337415.625902 0.000000 1104.430000
0.008500 0.000000 0.000000 344148.013335 287120.745419 0.000000 1060.750000
0.008700 0.000000 0.000000 332173.282620 241678.789347 0.000000 1016.030000
0.008900 0.000000 0.000000 321443.954216 200993.875978 0.000000 970.270000
0.009100 0.000000 0.000000 311924.815060 164931.487880 0.000000 923.470000
0.009300 0.000000 0.000000 303570.907708 133319.888330 0.000000 875.630000
0.009500 0.000000 0.000000 296328.026422 105952.016188 0.000000 826.750000
0.009700 0.000000 0.000000 290133.346406 82587.889334 0.000000 776.830000
0.009900 0.000000 0.000000 284916.194233 62957.547398 0.000000 725.870000
