x           y           z           G           L           T
-0.009900 0.000000 0.000000 452445.049995 675929.382886 0.000000 1313.930000
-0.009700 0.000000 0.000000 467633.849929 734187.129972 0.000000 1341.370000
-0.009500 0.000000 0.000000 483447.037553 794829.977336 0.000000 1368.250000
-0.009300 0.000000 0.000000 499863.053177 857775.593073 0.000000 1394.570000
-0.009100 0.000000 0.000000 516857.671538 922931.464298 0.000000 1420.330000
-0.008900 0.000000 0.000000 534404.099891 990195.271800 0.000000 1445.530000
-0.008700 0.000000 0.000000 552473.084510 1059455.296792 0.000000 1470.170000
-0.008500 0.000000 0.000000 571033.024905 1130590.857186 0.000000 1494.250000
-0.008300 0.000000 0.000000 590050.095122 1203472.770849 0.000000 1517.770000
-0.008100 0.000000 0.000000 609488.371447 1277963.843373 0.000000 1540.730000
-0.007900 0.000000 0.000000 629309.965903 1353919.377951 0.000000 1563.130000
-0.007700 0.000000 0.000000 649475.164913 1431187.704978 0.000000 1584.970000
-0.007500 0.000000 0.000000 669942.572530 1509610.729096 0.000000 1606.250000
-0.007300 0.000000 0.000000 690669.257635 1589024.491415 0.000000 1626.970000
-0.007100 0.000000 0.000000 711610.904551 1669259.744732 0.000000 1647.130000
-0.006900 0.000000 0.000000 732721.966484 1750142.539606 0.000000 1666.730000
-0.006700 0.000000 0.000000 753955.821273 1831494.819205 0.000000 1685.770000
-0.006500 0.000000 0.000000 775264.928908 1913135.020920 0.000000 1704.250000
-0.006300 0.000000 0.000000 796600.990291 1994878.682748 0.000000 1722.170000
-0.006100 0.000000 0.000000 817915.106768 2076539.052567 0.000000 1739.530000
-0.005900 0.000000 0.000000 839157.939909 2157927.698425 0.000000 1756.330000
-0.005700 0.000000 0.000000 860279.871102 2238855.118050 0.000000 1772.570000
-0.005500 0.000000 0.000000 881231.160477 2319131.345845 0.000000 1788.250000
-0.005300 0.000000 0.000000 901962.104727 2398566.555674 0.000000 1803.370000
-0.005100 0.000000 0.000000 922423.193416 2476971.657815 0.000000 1817.930000
-0.004900 0.000000 0.000000 942565.263327 2554158.888504 0.000000 1831.930000
-0.004700 0.000000 0.000000 962339.650490 2629942.390545 0.000000 1845.370000
-0.004500 0.000000 0.000000 981698.339480 2704138.783544 0.000000 1858.250000
-0.004300 0.000000 0.000000 1000594.109631 2776567.722340 0.000000 1870.570000
-0.004100 0.000000 0.000000 1018980.677809 2847052.442299 0.000000 1882.330000
-0.003900 0.000000 0.000000 1036812.837407 2915420.290169 0.000000 1893.530000
-0.003700 0.000000 0.000000 1054046.593232 2981503.239269 0.000000 1904.170000
-0.003500 0.000000 0.000000 1070639.291987 3045138.387823 0.000000 1914.250000
-0.003300 0.000000 0.000000 1086549.748040 3106168.439319 0.000000 1923.770000
-0.003100 0.000000 0.000000 1101738.364211 3164442.163826 0.000000 1932.730000
-0.002900 0.000000 0.000000 1116167.247306 3219814.839251 0.000000 1941.130000
-0.002700 0.000000 0.000000 1129800.318152 3272148.671596 0.000000 1948.970000
-0.002500 0.000000 0.000000 1142603.415894 3321313.193291 0.000000 1956.250000
-0.002300 0.000000 0.000000 1154544.396334 3367185.638787 0.000000 1962.970000
-0.002100 0.000000 0.000000 1165593.224106 3409651.296598 0.000000 1969.130000
-0.001900 0.000000 0.000000 1175722.058503 3448603.837084 0.000000 1974.730000
-0.001700 0.000000 0.000000 1184905.332760 3483945.615280 0.000000 1979.770000
-0.001500 0.000000 0.000000 1193119.826658 3515587.948167 0.000000 1984.250000
-0.001300 0.000000 0.000000 1200344.732277 3543451.365813 0.000000 1988.170000
-0.001100 0.000000 0.000000 1206561.712783 3567465.835891 0.000000 1991.530000
-0.000900 0.000000 0.000000 1211754.954120 3587570.961108 0.000000 1994.330000
-0.000700 0.000000 0.000000 1215911.209509 3603716.149165 0.000000 1996.570000
-0.000500 0.000000 0.000000 1219019.836672 3615860.754903 0.000000 1998.250000
-0.000300 0.000000 0.000000 1221072.827686 3623974.194360 0.000000 1999.370000
-0.000100 0.000000 0.000000 1222064.831442 3628036.030509 0.000000 1999.930000
0.000100 0.000000 0.000000 1221879.191691 3627600.670540 0.000000 1999.870000
0.000300 0.000000 0.000000 1219833.277335 3620060.654805 0.000000 1998.830000
0.000500 0.000000 0.000000 1215822.345258 3605015.891489 0.000000 1996.750000
0.000700 0.000000 0.000000 1209864.815087 3582536.733470 0.000000 1993.630000
0.000900 0.000000 0.000000 1201988.196385 3552728.252185 0.000000 1989.470000
0.001100 0.000000 0.000000 1192228.945285 3515729.690028 0.000000 1984.270000
0.001300 0.000000 0.000000 1180632.274146 3471713.733355 0.000000 1978.030000
0.001500 0.000000 0.000000 1167251.914939 3420885.608742 0.000000 1970.750000
0.001700 0.000000 0.000000 1152149.837243 3363482.005848 0.000000 1962.430000
0.001900 0.000000 0.000000 1135395.921879 3299769.830908 0.000000 1953.070000
0.002100 0.000000 0.000000 1117067.591439 3230044.795510 0.000000 1942.670000
0.002300 0.000000 0.000000 1097249.399080 3154629.846025 0.000000 1931.230000
