x           y           z           G           L           A           T
-0.001500 0.000000 0.000000 450095.906485 3515587.948167 450710.243596 1984.250000
-0.001300 0.000000 0.000000 449986.946032 3543451.365813 450597.943442 1988.170000
-0.001100 0.000000 0.000000 449847.082237 3567465.835891 450454.106723 1991.530000
-0.000900 0.000000 0.000000 449675.823027 3587570.961108 450278.091425 1994.330000
-0.000700 0.000000 0.000000 449472.730085 3603716.149165 450069.277866 1996.570000
-0.000500 0.000000 0.000000 449237.419280 3615860.754903 449827.062574 1998.250000
-0.000300 0.000000 0.000000 448969.560907 3623974.194360 449550.850801 1999.370000
-0.000100 0.000000 0.000000 448668.879740 3628036.030509 449240.047080 1999.930000
0.000100 0.000000 0.000000 448334.472199 3627600.670540 448894.048162 1999.870000
0.000300 0.000000 0.000000 447962.091765 3620060.654805 448512.280857 1998.830000
0.000500 0.000000 0.000000 447551.054320 3605015.891489 448094.348332 1996.750000
0.000700 0.000000 0.000000 447101.522584 3582536.733470 447640.085198 1993.630000
0.000900 0.000000 0.000000 446613.821342 3552728.252185 447149.539416 1989.470000
0.001100 0.000000 0.000000 446088.434594 3515729.690028 446622.959984 1984.270000
0.001300 0.000000 0.000000 445526.001939 3471713.733355 446060.785638 1978.030000
0.001500 0.000000 0.000000 444927.314216 3420885.608742 445463.634009 1970.750000
0.001700 0.000000 0.000000 444293.308426 3363482.005848 444832.291267 1962.430000
0.001900 0.000000 0.000000 443625.061938 3299769.830908 444167.702092 1953.070000
0.002100 0.000000 0.000000 442923.786016 3230044.795510 443470.959550 1942.670000
0.002300 0.000000 0.000000 442190.818697 3154629.846025 442743.295083 1931.230000
0.002500 0.000000 0.000000 441427.617032 3073873.439702 441986.068343 1918.750000
0.002700 0.000000 0.000000 440635.748757 2988147.674108 441200.756968 1905.230000
0.002900 0.000000 0.000000 439816.883398 2897846.277274 440388.946034 1890.670000
0.003100 0.000000 0.000000 438972.782874 2803382.466566 439552.317471 1875.070000
0.003300 0.000000 0.000000 438105.291635 2705186.684975 438692.639099 1858.430000
0.003500 0.000000 0.000000 437216.326381 2603704.224185 437811.753597 1840.750000
0.003700 0.000000 0.000000 436307.865414 2499392.744441 436911.567284 1822.030000
