x           y           z           G           L           T
0.005000 0.000000 0.000000 2788070.055617 2774081.562676 1870.151129
0.015000 0.000000 0.000000 2762353.895108 2753497.375571 1866.672218
0.025000 0.000000 0.000000 2738893.730683 2735486.734163 1863.612224
0.035000 0.000000 0.000000 2716825.331112 2716884.730220 1860.435854
0.045000 0.000000 0.000000 2695684.039530 2696877.366293 1857.001253
0.055000 0.000000 0.000000 2675213.649279 2675710.840680 1853.346797
0.065000 0.000000 0.000000 2655268.354847 2654010.859686 1849.577660
0.075000 0.000000 0.000000 2635760.836975 2632426.660357 1845.805634
0.085000 0.000000 0.000000 2616634.163183 2611463.827360 1842.119928
0.095000 0.000000 0.000000 2597846.554545 2591429.226190 1838.576629
0.105000 0.000000 0.000000 2579363.371530 2572439.039832 1835.199027
0.115000 0.000000 0.000000 2561153.222213 2554457.478074 1831.983537
0.125000 0.000000 0.000000 2543186.395240 2537345.481880 1828.907742
0.135000 0.000000 0.000000 2525434.534528 2520907.356741 1825.938386
0.145000 0.000000 0.000000 2507870.897355 2504929.307049 1823.038186
0.155000 0.000000 0.000000 2490470.804574 2489207.767396 1820.170973
0.165000 0.000000 0.000000 2473212.064263 2473567.739209 1817.305116
0.175000 0.000000 0.000000 2456075.261502 2457872.527189 1814.415453
0.185000 0.000000 0.000000 2439043.877087 2442026.733189 1811.483993
0.195000 0.000000 0.000000 2422104.239808 2425974.402252 1808.499740
0.205000 0.000000 0.000000 2405245.339663 2409694.028353 1805.457928
0.215000 0.000000 0.000000 2388458.539290 2393191.840579 1802.358901
0.225000 0.000000 0.000000 2371737.222698 2376494.477745 1799.206865
0.235000 0.000000 0.000000 2355076.417176 2359641.860413 1796.008634
0.245000 0.000000 0.000000 2338472.418341 2342680.803741 1792.772480
0.255000 0.000000 0.000000 2321922.441244 2325659.691653 1789.507153
0.265000 0.000000 0.000000 2305424.313225 2308624.353999 1786.221101
0.275000 0.000000 0.000000 2288976.217633 2291615.152842 1782.921896
0.285000 0.000000 0.000000 2272576.491852 2274665.187875 1779.615860
0.295000 0.000000 0.000000 2256223.478553 2257799.469244 1776.307866
0.305000 0.000000 0.000000 2239915.425832 2241034.873456 1773.001287
0.315000 0.000000 0.000000 2223650.429683 2224380.688197 1769.698066
0.325000 0.000000 0.000000 2207426.411125 2207839.559415 1766.398856
0.335000 0.000000 0.000000 2191241.119911 2191408.673165 1763.103231
0.345000 0.000000 0.000000 2175092.157086 2175081.031147 1759.809904
