x           y           z           G           L           T
-0.002200 0.000000 0.000000 450243.032723 3388851.161877 450379.186818 1966.120000
-0.002067 0.000000 0.000000 450242.383336 3416390.099226 450378.734415 1970.102222
-0.001933 0.000000 0.000000 450228.961929 3442359.966875 450365.512365 1973.835556
-0.001800 0.000000 0.000000 450202.548373 3466731.827274 450339.299330 1977.320000
-0.001667 0.000000 0.000000 450162.930998 3489478.504841 450299.881755 1980.555556
-0.001533 0.000000 0.000000 450109.906609 3510574.620191 450247.053672 1983.542222
-0.001400 0.000000 0.000000 450043.280468 3529996.622056 450180.616417 1986.280000
-0.001267 0.000000 0.000000 449962.866259 3547722.816861 450100.378225 1988.768889
-0.001133 0.000000 0.000000 449868.486008 3563733.395917 450006.153681 1991.008889
-0.001000 0.000000 0.000000 449759.969980 3578010.460233 449897.762958 1993.000000
-0.000867 0.000000 0.000000 449637.156542 3590538.042898 449775.030783 1994.742222
-0.000733 0.000000 0.000000 449499.891983 3601302.129031 449637.784965 1996.235556
-0.000600 0.000000 0.000000 449348.030300 3610290.673274 449485.854289 1997.480000
-0.000467 0.000000 0.000000 449181.432946 3617493.614817 449319.065364 1998.475556
-0.000333 0.000000 0.000000 448999.968533 3622902.889936 449137.237721 1999.222222
-0.000200 0.000000 0.000000 448803.512484 3626512.442037 448940.175884 1999.720000
-0.000067 0.000000 0.000000 448591.946646 3628318.229197 448727.655994 1999.968889
0.000067 0.000000 0.000000 448365.007327 3628124.719751 448499.403362 1999.942222
0.000200 0.000000 0.000000 448121.683052 3624771.785722 448255.107299 1999.480000
0.000333 0.000000 0.000000 447861.753241 3618072.890088 447994.535964 1998.555556
0.000467 0.000000 0.000000 447585.185873 3608041.961579 447717.551688 1997.168889
0.000600 0.000000 0.000000 447291.985359 3594699.853033 447424.088064 1995.320000
0.000733 0.000000 0.000000 446982.191894 3578074.293149 447114.136319 1993.008889
0.000867 0.000000 0.000000 446655.880774 3558199.822289 446787.737040 1990.235556
0.001000 0.000000 0.000000 446313.161674 3535117.712426 446444.974851 1987.000000
0.001133 0.000000 0.000000 445954.177888 3508875.871363 446085.974751 1983.302222
0.001267 0.000000 0.000000 445579.105525 3479528.731393 445710.899418 1979.142222
0.001400 0.000000 0.000000 445188.152665 3447137.122562 445319.947071 1974.520000
0.001533 0.000000 0.000000 444781.558468 3411768.130771 444913.349683 1969.435556
0.001667 0.000000 0.000000 444359.592247 3373494.940921 444491.371390 1963.888889
0.001800 0.000000 0.000000 443922.552486 3332396.665394 444054.307041 1957.880000
0.001933 0.000000 0.000000 443470.765826 3288558.158125 443602.480811 1951.408889
0.002067 0.000000 0.000000 443004.585996 3242069.814606 443136.244868 1944.475556
0.002200 0.000000 0.000000 442524.392714 3193027.358139 442655.978057 1937.080000
0.002333 0.000000 0.000000 442030.590533 3141531.612722 442162.084582 1929.222222
