x           y           z           G           L           T
-0.003100 0.000000 0.000000 569410.081233 3164442.163826 0.000000 1932.730000
-0.002900 0.000000 0.000000 572619.162494 3219814.839251 0.000000 1941.130000
-0.002700 0.000000 0.000000 575643.262067 3272148.671596 0.000000 1948.970000
-0.002500 0.000000 0.000000 578474.471168 3321313.193291 0.000000 1956.250000
-0.002300 0.000000 0.000000 581105.347928 3367185.638787 0.000000 1962.970000
-0.002100 0.000000 0.000000 583528.938723 3409651.296598 0.000000 1969.130000
-0.001900 0.000000 0.000000 585738.798039 3448603.837084 0.000000 1974.730000
-0.001700 0.000000 0.000000 587729.006816 3483945.615280 0.000000 1979.770000
-0.001500 0.000000 0.000000 589494.189251 3515587.948167 0.000000 1984.250000
-0.001300 0.000000 0.000000 591029.528016 3543451.365813 0.000000 1988.170000
-0.001100 0.000000 0.000000 592330.777862 3567465.835891 0.000000 1991.530000
-0.000900 0.000000 0.000000 593394.277580 3587570.961108 0.000000 1994.330000
-0.000700 0.000000 0.000000 594216.960304 3603716.149165 0.000000 1996.570000
-0.000500 0.000000 0.000000 594796.362120 3615860.754903 0.000000 1998.250000
-0.000300 0.000000 0.000000 595130.628979 3623974.194360 0.000000 1999.370000
-0.000100 0.000000 0.000000 595218.521892 3628036.030509 0.000000 1999.930000
0.000100 0.000000 0.000000 595033.118089 3627600.670540 0.000000 1999.870000
0.000300 0.000000 0.000000 594416.887698 3620060.654805 0.000000 1998.830000
0.000500 0.000000 0.000000 593345.662746 3605015.891489 0.000000 1996.750000
0.000700 0.000000 0.000000 591823.701005 3582536.733470 0.000000 1993.630000
0.000900 0.000000 0.000000 589857.361522 3552728.252185 0.000000 1989.470000
0.001100 0.000000 0.000000 587455.071483 3515729.690028 0.000000 1984.270000
0.001300 0.000000 0.000000 584627.282219 3471713.733355 0.000000 1978.030000
0.001500 0.000000 0.000000 581386.414524 3420885.608742 0.000000 1970.750000
0.001700 0.000000 0.000000 577746.793472 3363482.005848 0.000000 1962.430000
0.001900 0.000000 0.000000 573724.572992 3299769.830908 0.000000 1953.070000
0.002100 0.000000 0.000000 569337.650472 3230044.795510 0.000000 1942.670000
0.002300 0.000000 0.000000 564605.571726 3154629.846025 0.000000 1931.230000
0.002500 0.000000 0.000000 559549.426678 3073873.439702 0.000000 1918.750000
0.002700 0.000000 0.000000 554191.736181 2988147.674108 0.000000 1905.230000
0.002900 0.000000 0.000000 548556.330400 2897846.277274 0.000000 1890.670000
0.003100 0.000000 0.000000 542668.219255 2803382.466566 0.000000 1875.070000
0.003300 0.000000 0.000000 536553.455457 2705186.684975 0.000000 1858.430000
0.003500 0.000000 0.000000 530238.990680 2603704.224185 0.000000 1840.750000
0.003700 0.000000 0.000000 523752.525507 2499392.744441 0.000000 1822.030000
0.003900 0.000000 0.000000 517122.353765 2392719.701933 0.000000 1802.270000
0.004100 0.000000 0.000000 510377.201973 2284159.695035 0.000000 1781.470000
0.004300 0.000000 0.000000 503546.064590 2174191.741456 0.000000 1759.630000
0.004500 0.000000 0.000000 496658.035874 2063296.498996 0.000000 1736.750000
0.004700 0.000000 0.000000 489742.139126 1951953.443274 0.000000 1712.830000
0.004900 0.000000 0.000000 482827.154193 1840638.016482 0.000000 1687.870000
0.005100 0.000000 0.000000 475941.444104 1729818.761856 0.000000 1661.870000
0.005300 0.000000 0.000000 469112.781782 1619954.459256 0.000000 1634.830000
0.005500 0.000000 0.000000 462368.177793 1511491.277892 0.000000 1606.750000
0.005700 0.000000 0.000000 455733.710149 1404859.962916 0.000000 1577.630000
0.005900 0.000000 0.000000 449234.357212 1300473.073254 0.000000 1547.470000
0.006100 0.000000 0.000000 442893.834800 1198722.288738 0.000000 1516.270000
0.006300 0.000000 0.000000 436734.438613 1099975.805258 0.000000 1484.030000
0.006500 0.000000 0.000000 430776.893167 1004575.837316 0.000000 1450.750000
0.006700 0.000000 0.000000 425040.208435 912836.248040 0.000000 1416.430000
0.006900 0.000000 0.000000 419541.545463 825040.327392 0.000000 1381.070000
0.007100 0.000000 0.000000 414296.092240 741438.739956 0.000000 1344.670000
0.007300 0.000000 0.000000 409316.951164 662247.664369 0.000000 1307.230000
0.007500 0.000000 0.000000 404615.039482 587647.147131 0.000000 1268.750000
0.007700 0.000000 0.000000 400199.004104 517779.694191 0.000000 1229.230000
0.007900 0.000000 0.000000 396075.152269 452749.124378 0.000000 1188.670000
0.008100 0.000000 0.000000 392247.399528 392619.709411 0.000000 1147.070000
0.008300 0.000000 0.000000 388717.236610 337415.625902 0.000000 1104.430000
0.008500 0.000000 0.000000 385483.716723 287120.745419 0.000000 1060.750000
0.008700 0.000000 0.000000 382543.464922 241678.789347 0.000000 1016.030000
0.008900 0.000000 0.000000 379890.711186 200993.875978 0.000000 970.270000
0.009100 0.000000 0.000000 377517.348913 164931.487880 0.000000 923.470000
0.009300 0.000000 0.000000 375413.020557 133319.888330 0.000000 875.630000
0.009500 0.000000 0.000000 373565.232204 105952.016188 0.000000 826.750000
0.009700 0.000000 0.000000 371959.498867 82587.889334 0.000000 776.830000
0.009900 0.000000 0.000000 370579.522404 62957.547398 0.000000 725.870000
