x           y           z           G           L           T
-0.009900 0.000000 0.000000 423127.447980 675929.382886 0.000000 1313.930000
-0.009700 0.000000 0.000000 426536.261754 734187.129972 0.000000 1341.370000
-0.009500 0.000000 0.000000 430089.040865 794829.977336 0.000000 1368.250000
-0.009300 0.000000 0.000000 433780.780503 857775.593073 0.000000 1394.570000
-0.009100 0.000000 0.000000 437605.859613 922931.464298 0.000000 1420.330000
-0.008900 0.000000 0.000000 441558.063572 990195.271800 0.000000 1445.530000
-0.008700 0.000000 0.000000 445630.608816 1059455.296792 0.000000 1470.170000
-0.008500 0.000000 0.000000 449816.169255 1130590.857186 0.000000 1494.250000
-0.008300 0.000000 0.000000 454106.904321 1203472.770849 0.000000 1517.770000
-0.008100 0.000000 0.000000 458494.488498 1277963.843373 0.000000 1540.730000
-0.007900 0.000000 0.000000 462970.142204 1353919.377951 0.000000 1563.130000
-0.007700 0.000000 0.000000 467524.663850 1431187.704978 0.000000 1584.970000
-0.007500 0.000000 0.000000 472148.462973 1509610.729096 0.000000 1606.250000
-0.007300 0.000000 0.000000 476831.594280 1589024.491415 0.000000 1626.970000
-0.007100 0.000000 0.000000 481563.792484 1669259.744732 0.000000 1647.130000
-0.006900 0.000000 0.000000 486334.507793 1750142.539606 0.000000 1666.730000
-0.006700 0.000000 0.000000 491132.941943 1831494.819205 0.000000 1685.770000
-0.006500 0.000000 0.000000 495948.084625 1913135.020920 0.000000 1704.250000
-0.006300 0.000000 0.000000 500768.750220 1994878.682748 0.000000 1722.170000
-0.006100 0.000000 0.000000 505583.614696 2076539.052567 0.000000 1739.530000
-0.005900 0.000000 0.000000 510381.252574 2157927.698425 0.000000 1756.330000
-0.005700 0.000000 0.000000 515150.173849 2238855.118050 0.000000 1772.570000
-0.005500 0.000000 0.000000 519878.860754 2319131.345845 0.000000 1788.250000
-0.005300 0.000000 0.000000 524555.804274 2398566.555674 0.000000 1803.370000
-0.005100 0.000000 0.000000 529169.540309 2476971.657815 0.000000 1817.930000
-0.004900 0.000000 0.000000 533708.685385 2554158.888504 0.000000 1831.930000
-0.004700 0.000000 0.000000 538161.971824 2629942.390545 0.000000 1845.370000
-0.004500 0.000000 0.000000 542518.282295 2704138.783544 0.000000 1858.250000
-0.004300 0.000000 0.000000 546766.683636 2776567.722340 0.000000 1870.570000
-0.004100 0.000000 0.000000 550896.459895 2847052.442299 0.000000 1882.330000
-0.003900 0.000000 0.000000 554897.144489 2915420.290169 0.000000 1893.530000
-0.003700 0.000000 0.000000 558758.551416 2981503.239269 0.000000 1904.170000
-0.003500 0.000000 0.000000 562470.805447 3045138.387823 0.000000 1914.250000
-0.003300 0.000000 0.000000 566024.371229 3106168.439319 0.000000 1923.770000
