x           y           z           G           L           T
0.005000 0.000000 0.000000 2789603.345879 2789197.261696 1872.693507
0.015000 0.000000 0.000000 2763462.395805 2763234.916574 1868.320372
0.025000 0.000000 0.000000 2739936.841684 2739917.051056 1864.366330
0.035000 0.000000 0.000000 2717838.540377 2718020.838617 1860.630316
0.045000 0.000000 0.000000 2696689.603906 2697051.537929 1857.031235
0.055000 0.000000 0.000000 2676242.054192 2676752.331594 1853.527119
0.065000 0.000000 0.000000 2656343.742402 2656966.974359 1850.092473
0.075000 0.000000 0.000000 2636891.707998 2637591.528418 1846.710345
0.085000 0.000000 0.000000 2617811.893366 2618553.077472 1843.368843
0.095000 0.000000 0.000000 2599048.713784 2599798.613102 1840.059320
0.105000 0.000000 0.000000 2580559.084585 2581288.568066 1836.775326
0.115000 0.000000 0.000000 2562308.748945 2562992.775584 1833.511941
0.125000 0.000000 0.000000 2544269.899308 2544887.811046 1830.265349
0.135000 0.000000 0.000000 2526419.571089 2526955.172206 1827.032537
0.145000 0.000000 0.000000 2508738.519567 2509179.993679 1823.811086
0.155000 0.000000 0.000000 2491210.411285 2491550.116417 1820.599018
0.165000 0.000000 0.000000 2473821.227276 2474055.401578 1817.394680
0.175000 0.000000 0.000000 2456558.813286 2456687.217801 1814.196663
0.185000 0.000000 0.000000 2439412.534664 2439438.054722 1811.003734
0.195000 0.000000 0.000000 2422373.007498 2422301.230334 1807.814788
0.205000 0.000000 0.000000 2405431.886397 2405270.669308 1804.628809
0.215000 0.000000 0.000000 2388581.695079 2388340.735711 1801.444841
0.225000 0.000000 0.000000 2371815.689824 2371506.107862 1798.261967
0.235000 0.000000 0.000000 2355127.748484 2354761.686046 1795.079294
0.245000 0.000000 0.000000 2338512.279606 2338102.525990 1791.895938
0.255000 0.000000 0.000000 2321964.147551 2321523.792542 1788.711017
0.265000 0.000000 0.000000 2305478.610457 2305020.729188 1785.523646
0.275000 0.000000 0.000000 2289051.268562 2288588.639899 1782.332932
0.285000 0.000000 0.000000 2272678.020991 2272222.880524 1779.137974
0.295000 0.000000 0.000000 2256355.029437 2255918.857420 1775.937860
0.305000 0.000000 0.000000 2240078.687529 2239672.031497 1772.731672
0.315000 0.000000 0.000000 2223845.594881 2223477.926131 1769.518481
