x           y           z           G           L           T
0.005000 0.000000 0.000000 2634587.639866 2612644.844053 1842.328165
0.015000 0.000000 0.000000 2614838.852150 2640238.861592 1847.173553
0.025000 0.000000 0.000000 2595202.859858 2592959.969409 1838.848078
0.035000 0.000000 0.000000 2575686.474527 2574578.511027 1835.580487
0.045000 0.000000 0.000000 2556288.942327 2555473.851019 1832.165739
0.055000 0.000000 0.000000 2537007.393298 2536413.468399 1828.739771
0.065000 0.000000 0.000000 2517839.128715 2517322.260621 1825.288852
0.075000 0.000000 0.000000 2498781.569559 2498388.601096 1821.846970
0.085000 0.000000 0.000000 2479832.170411 2479560.554027 1818.404833
0.095000 0.000000 0.000000 2460988.427225 2460820.318723 1814.959228
0.105000 0.000000 0.000000 2442247.888299 2442165.179707 1811.509667
0.115000 0.000000 0.000000 2423608.154640 2423592.678960 1808.055699
0.125000 0.000000 0.000000 2405066.878779 2405101.673229 1804.597109
0.135000 0.000000 0.000000 2386621.762874 2386691.948276 1801.133854
0.145000 0.000000 0.000000 2368270.556248 2368363.798061 1797.665984
0.155000 0.000000 0.000000 2350011.052652 2350117.313752 1794.193516
0.165000 0.000000 0.000000 2331841.087653 2331952.405578 1790.716428
0.175000 0.000000 0.000000 2313758.536184 2313868.943913 1787.234694
0.185000 0.000000 0.000000 2295761.310193 2295866.648904 1783.748258
0.195000 0.000000 0.000000 2277847.356426 2277945.009149 1780.257017
0.205000 0.000000 0.000000 2260014.654412 2260103.236085 1776.760810
0.215000 0.000000 0.000000 2242261.214677 2242340.220235 1773.259413
0.225000 0.000000 0.000000 2224585.077197 2224654.572188 1769.752538
0.235000 0.000000 0.000000 2206984.310083 2207044.734162 1766.239858
0.245000 0.000000 0.000000 2189457.008403 2189509.064003 1762.721023
0.255000 0.000000 0.000000 2172001.293113 2172045.856624 1759.195659
0.265000 0.000000 0.000000 2154615.310053 2154653.340667 1755.663373
0.275000 0.000000 0.000000 2137297.229019 2137329.686383 1752.123751
0.285000 0.000000 0.000000 2120045.242911 2120073.027946 1748.576359
0.295000 0.000000 0.000000 2102857.566918 2102881.488051 1745.020755
0.305000 0.000000 0.000000 2085732.437753 2085753.196504 1741.456484
0.315000 0.000000 0.000000 2068668.112896 2068686.301828 1737.883088
0.325000 0.000000 0.000000 2051662.869860 2051678.977886 1734.300101
0.335000 0.000000 0.000000 2034715.005458 2034729.427442 1730.707054
0.345000 0.000000 0.000000 2017822.835074 2017835.883721 1727.103473
0.355000 0.000000 0.000000 2000984.691938 2000996.610528 1723.488879
0.365000 0.000000 0.000000 1984198.926397 1984209.901334 1719.862790
0.375000 0.000000 0.000000 1967463.905192 1967474.077640 1716.224715
0.385000 0.000000 0.000000 1950778.010729 1950787.486927 1712.574162
0.395000 0.000000 0.000000 1934139.640357 1934148.500385 1708.910629
0.405000 0.000000 0.000000 1917547.205639 1917555.510622 1705.233608
0.415000 0.000000 0.000000 1900999.131639 1901006.929435 1701.542583
0.425000 0.000000 0.000000 1884493.856196 1884501.185749 1697.837029
0.435000 0.000000 0.000000 1868029.829212 1868036.723741 1694.116412
0.445000 0.000000 0.000000 1851605.511942 1851612.001170 1690.380188
0.455000 0.000000 0.000000 1835219.376283 1835225.487911 1686.627804
0.465000 0.000000 0.000000 1818869.904074 1818875.664664 1682.858692
0.475000 0.000000 0.000000 1802555.586399 1802561.021829 1679.072277
0.485000 0.000000 0.000000 1786274.922888 1786280.058516 1675.267968
0.495000 0.000000 0.000000 1770026.421031 1770031.281660 1671.445163
0.505000 0.000000 0.000000 1753808.595490 1753813.205218 1667.603244
0.515000 0.000000 0.000000 1737619.967417 1737624.349442 1663.741580
0.525000 0.000000 0.000000 1721459.063773 1721463.240183 1659.859527
0.535000 0.000000 0.000000 1705324.416654 1705328.408238 1655.956423
0.545000 0.000000 0.000000 1689214.562619 1689218.388708 1652.031589
0.555000 0.000000 0.000000 1673128.042012 1673131.720371 1648.084331
0.565000 0.000000 0.000000 1657063.398301 1657066.945059 1644.113937
0.575000 0.000000 0.000000 1641019.177402 1641022.607033 1640.119674
0.585000 0.000000 0.000000 1624993.927020 1624997.252356 1636.100792
0.595000 0.000000 0.000000 1608986.195976 1608989.428260 1632.056520
0.605000 0.000000 0.000000 1592994.533549 1592997.682506 1627.986065
0.615000 0.000000 0.000000 1577017.488803 1577020.562739 1623.888612
0.625000 0.000000 0.000000 1561053.609926 1561056.615837 1619.763323
0.635000 0.000000 0.000000 1545101.443563 1545104.387253 1615.609334
0.645000 0.000000 0.000000 1529159.534149 1529162.420349 1611.425758
0.655000 0.000000 0.000000 1513226.423241 1513229.255733 1607.211679
0.665000 0.000000 0.000000 1497300.648843 1497303.430581 1602.966153
0.675000 0.000000 0.000000 1481380.744744 1481383.477964 1598.688207
0.685000 0.000000 0.000000 1465465.239832 1465467.926165 1594.376838
0.695000 0.000000 0.000000 1449552.657426 1449555.297993 1590.031009
0.705000 0.000000 0.000000 1433641.514593 1433644.110099 1585.649650
0.715000 0.000000 0.000000 1417730.321462 1417732.872280 1581.231653
0.725000 0.000000 0.000000 1401817.580541 1401820.086786 1576.775876
0.735000 0.000000 0.000000 1385901.786025 1385904.247621 1572.281135
0.745000 0.000000 0.000000 1369981.423100 1369983.839838 1567.746206
0.755000 0.000000 0.000000 1354054.967242 1354057.338832 1563.169818
0.765000 0.000000 0.000000 1338120.883516 1338123.209630 1558.550659
0.775000 0.000000 0.000000 1322177.625860 1322179.906172 1553.887365
0.785000 0.000000 0.000000 1306223.636374 1306225.870586 1549.178523
0.795000 0.000000 0.000000 1290257.344594 1290259.532468 1544.422665
0.805000 0.000000 0.000000 1274277.166767 1274279.308139 1539.618266
0.815000 0.000000 0.000000 1258281.505111 1258283.599913 1534.763744
0.825000 0.000000 0.000000 1242268.747075 1242270.795343 1529.857451
0.835000 0.000000 0.000000 1226237.264591 1226239.266472 1524.897674
0.845000 0.000000 0.000000 1210185.413309 1210187.369070 1519.882628
0.855000 0.000000 0.000000 1194111.531837 1194113.441862 1514.810455
0.865000 0.000000 0.000000 1178013.940962 1178015.805755 1509.679218
0.875000 0.000000 0.000000 1161890.942868 1161892.763046 1504.486894
0.885000 0.000000 0.000000 1145740.820340 1145742.596630 1499.231375
0.895000 0.000000 0.000000 1129561.835959 1129563.569192 1493.910454
0.905000 0.000000 0.000000 1113352.231295 1113353.922396 1488.521830
0.915000 0.000000 0.000000 1097110.226070 1097111.876051 1483.063089
0.925000 0.000000 0.000000 1080834.017335 1080835.627283 1477.531710
0.935000 0.000000 0.000000 1064521.778613 1064523.349682 1471.925046
0.945000 0.000000 0.000000 1048171.659043 1048173.192443 1466.240324
0.955000 0.000000 0.000000 1031781.782509 1031783.279493 1460.474635
0.965000 0.000000 0.000000 1015350.246753 1015351.708609 1454.624919
0.975000 0.000000 0.000000 998875.122479 998876.550517 1448.687963
0.985000 0.000000 0.000000 982354.452436 982355.847982 1442.660384
0.995000 0.000000 0.000000 965786.250501 965787.614883 1436.538617
