x           y           z           G           L           T
-0.009950 0.000000 0.000000 439131.371649 661746.269041 439260.435390 1306.982500
-0.009850 0.000000 0.000000 439261.214438 690266.106561 439387.917254 1320.842500
-0.009750 0.000000 0.000000 439395.942934 719396.102668 439521.324456 1334.562500
-0.009650 0.000000 0.000000 439535.274769 749127.277438 439659.976547 1348.142500
-0.009550 0.000000 0.000000 439678.948713 779449.988137 439803.363995 1361.582500
-0.009450 0.000000 0.000000 439826.721452 810353.939291 439951.088421 1374.882500
-0.009350 0.000000 0.000000 439978.364829 841828.193315 440102.824842 1388.042500
-0.009250 0.000000 0.000000 440133.663479 873861.181702 440258.297593 1401.062500
-0.009150 0.000000 0.000000 440292.412815 906440.716748 440417.264754 1413.942500
-0.009050 0.000000 0.000000 440454.417288 939554.003781 440579.507932 1426.682500
-0.008950 0.000000 0.000000 440619.488913 973187.653884 440744.825441 1439.282500
-0.008850 0.000000 0.000000 440787.446004 1007327.697092 440913.027648 1451.742500
-0.008750 0.000000 0.000000 440958.112091 1041959.596039 441083.933754 1464.062500
-0.008650 0.000000 0.000000 441131.314997 1077068.260028 441257.369493 1476.242500
-0.008550 0.000000 0.000000 441306.886053 1112638.059530 441433.165476 1488.282500
-0.008450 0.000000 0.000000 441484.659432 1148652.841058 441611.155956 1500.182500
-0.008350 0.000000 0.000000 441664.471572 1185095.942424 441791.177907 1511.942500
-0.008250 0.000000 0.000000 441846.160706 1221950.208348 441973.070314 1523.562500
-0.008150 0.000000 0.000000 442029.566447 1259198.006403 442156.673630 1535.042500
-0.008050 0.000000 0.000000 442214.529450 1296821.243279 442341.829344 1546.382500
-0.007950 0.000000 0.000000 442400.891127 1334801.381341 442528.379647 1557.582500
-0.007850 0.000000 0.000000 442588.493410 1373119.455474 442716.167174 1568.642500
-0.007750 0.000000 0.000000 442777.178555 1411756.090189 442905.034792 1579.562500
-0.007650 0.000000 0.000000 442966.788983 1450691.516974 443094.825437 1590.342500
-0.007550 0.000000 0.000000 443157.167152 1489905.591874 443285.382000 1600.982500
-0.007450 0.000000 0.000000 443348.155463 1529377.813284 443476.547222 1611.482500
-0.007350 0.000000 0.000000 443539.596176 1569087.339933 443668.163637 1621.842500
-0.007250 0.000000 0.000000 443731.331360 1609013.009050 443860.073517 1632.062500
-0.007150 0.000000 0.000000 443923.202857 1649133.354686 444052.118849 1642.142500
-0.007050 0.000000 0.000000 444115.052256 1689426.626186 444244.141323 1652.082500
-0.006950 0.000000 0.000000 444306.720890 1729870.806789 444435.982328 1661.882500
-0.006850 0.000000 0.000000 444498.049840 1770443.632339 444627.482969 1671.542500
-0.006750 0.000000 0.000000 444688.879952 1811122.610091 444818.484082 1681.062500
-0.006650 0.000000 0.000000 444879.051856 1851885.037611 445008.826271 1690.442500
-0.006550 0.000000 0.000000 445068.406006 1892708.021729 445198.349943 1699.682500
-0.006450 0.000000 0.000000 445256.782717 1933568.497551 445386.895349 1708.782500
-0.006350 0.000000 0.000000 445444.022211 1974443.247510 445574.302637 1717.742500
-0.006250 0.000000 0.000000 445629.964669 2015308.920437 445760.411907 1726.562500
-0.006150 0.000000 0.000000 445814.450288 2056142.050638 445945.063266 1735.242500
-0.006050 0.000000 0.000000 445997.319342 2096919.076974 446128.096896 1743.782500
-0.005950 0.000000 0.000000 446178.412246 2137616.361914 446309.353113 1752.182500
-0.005850 0.000000 0.000000 446357.569625 2178210.210557 446488.672443 1760.442500
