x           y           z           G           L           T
0.006100 0.000000 0.000000 508113.086823 1198722.288738 1516.270000
0.006300 0.000000 0.000000 492487.630236 1099975.805258 1484.030000
0.006500 0.000000 0.000000 477387.722571 1004575.837316 1450.750000
0.006700 0.000000 0.000000 462862.681499 912836.248040 1416.430000
0.006900 0.000000 0.000000 448957.021655 825040.327392 1381.070000
0.007100 0.000000 0.000000 435710.132218 741438.739956 1344.670000
0.007300 0.000000 0.000000 423155.984621 662247.664369 1307.230000
0.007500 0.000000 0.000000 411322.873927 587647.147131 1268.750000
0.007700 0.000000 0.000000 400233.197563 517779.694191 1229.230000
0.007900 0.000000 0.000000 389903.275200 452749.124378 1188.670000
0.008100 0.000000 0.000000 380343.213642 392619.709411 1147.070000
0.008300 0.000000 0.000000 371556.820740 337415.625902 1104.430000
0.008500 0.000000 0.000000 363541.572408 287120.745419 1060.750000
0.008700 0.000000 0.000000 356288.636953 241678.789347 1016.030000
0.008900 0.000000 0.000000 349782.961024 200993.875978 970.270000
0.009100 0.000000 0.000000 344003.421575 164931.487880 923.470000
0.009300 0.000000 0.000000 338923.048388 133319.888330 875.630000
0.009500 0.000000 0.000000 334509.321743 105952.016188 826.750000
