x           y           z           G           L           A           T
-0.009900 0.000000 0.000000 430463.231783 675929.382886 439904.265050 1313.930000
-0.009700 0.000000 0.000000 431310.437344 734187.129972 440168.648309 1341.370000
-0.009500 0.000000 0.000000 432195.098871 794829.977336 440450.893648 1368.250000
-0.009300 0.000000 0.000000 433115.800035 857775.593073 440749.282764 1394.570000
-0.009100 0.000000 0.000000 434070.959862 922931.464298 441062.211226 1420.330000
-0.008900 0.000000 0.000000 435058.838801 990195.271800 441388.162756 1445.530000
-0.008700 0.000000 0.000000 436077.545322 1059455.296792 441725.687964 1470.170000
-0.008500 0.000000 0.000000 437125.042989 1130590.857186 442073.387951 1494.250000
-0.008300 0.000000 0.000000 438199.157987 1203472.770849 442429.900820 1517.770000
-0.008100 0.000000 0.000000 439297.587045 1277963.843373 442793.891197 1540.730000
-0.007900 0.000000 0.000000 440417.905716 1353919.377951 443164.042001 1563.130000
-0.007700 0.000000 0.000000 441557.576997 1431187.704978 443539.048201 1584.970000
-0.007500 0.000000 0.000000 442713.960224 1509610.729096 443917.612136 1606.250000
-0.007300 0.000000 0.000000 443884.320228 1589024.491415 444298.440240 1626.970000
-0.007100 0.000000 0.000000 445065.836698 1669259.744732 444680.240671 1647.130000
-0.006900 0.000000 0.000000 446255.613733 1750142.539606 445061.722171 1666.730000
-0.006700 0.000000 0.000000 447450.689539 1831494.819205 445441.593558 1685.770000
-0.006500 0.000000 0.000000 448648.046239 1913135.020920 445818.563565 1704.250000
-0.006300 0.000000 0.000000 449844.619765 1994878.682748 446191.341689 1722.170000
-0.006100 0.000000 0.000000 451037.309807 2076539.052567 446558.639223 1739.530000
-0.005900 0.000000 0.000000 452222.989776 2157927.698425 446919.170448 1756.330000
-0.005700 0.000000 0.000000 453398.516757 2238855.118050 447271.654485 1772.570000
-0.005500 0.000000 0.000000 454560.741435 2319131.345845 447614.817103 1788.250000
-0.005300 0.000000 0.000000 455706.517945 2398566.555674 447947.392783 1803.370000
-0.005100 0.000000 0.000000 456832.713635 2476971.657815 448268.126981 1817.930000
-0.004900 0.000000 0.000000 457936.218708 2554158.888504 448575.778168 1831.930000
-0.004700 0.000000 0.000000 459013.955731 2629942.390545 448869.120512 1845.370000
-0.004500 0.000000 0.000000 460062.888959 2704138.783544 449146.945858 1858.250000
-0.004300 0.000000 0.000000 461080.033487 2776567.722340 449408.066421 1870.570000
-0.004100 0.000000 0.000000 462062.464181 2847052.442299 449651.316770 1882.330000
-0.003900 0.000000 0.000000 463007.324372 2915420.290169 449875.556250 1893.530000
-0.003700 0.000000 0.000000 463911.834299 2981503.239269 450079.671110 1904.170000
-0.003500 0.000000 0.000000 464773.299284 3045138.387823 450262.576486 1914.250000
-0.003300 0.000000 0.000000 465589.117602 3106168.439319 450423.218282 1923.770000
-0.003100 0.000000 0.000000 466356.788050 3164442.163826 450560.574979 1932.730000
-0.002900 0.000000 0.000000 467073.917184 3219814.839251 450673.659025 1941.130000
-0.002700 0.000000 0.000000 467738.226215 3272148.671596 450761.518146 1948.970000
-0.002500 0.000000 0.000000 468347.557546 3321313.193291 450823.236375 1956.250000
-0.002300 0.000000 0.000000 468899.880935 3367185.638787 450857.934636 1962.970000
-0.002100 0.000000 0.000000 469393.299278 3409651.296598 450864.771123 1969.130000
-0.001900 0.000000 0.000000 469826.053988 3448603.837084 450842.941087 1974.730000
-0.001700 0.000000 0.000000 470196.529965 3483945.615280 450791.676257 1979.770000
-0.001500 0.000000 0.000000 470503.260158 3515587.948167 450710.243596 1984.250000
