x           y           z           G           L           A           T
-0.009839 0.000000 0.000000 419368.640891 835536.446966 444062.526774 1385.441674
-0.009817 0.000000 0.000000 419386.061449 841876.443018 444094.509030 1388.062389
-0.009797 0.000000 0.000000 419403.564069 848238.788978 444126.648838 1390.677504
-0.009776 0.000000 0.000000 419421.148074 854623.389300 444158.944527 1393.287019
-0.009755 0.000000 0.000000 419438.812786 861030.147450 444191.394463 1395.890934
-0.009734 0.000000 0.000000 419456.557525 867458.965913 444223.996834 1398.489250
-0.009713 0.000000 0.000000 419474.381609 873909.746193 444256.750072 1401.081965
-0.009692 0.000000 0.000000 419492.284355 880382.388821 444289.652585 1403.669081
-0.009671 0.000000 0.000000 419510.265079 886876.793354 444322.702667 1406.250597
-0.009650 0.000000 0.000000 419528.323093 893392.858383 444355.898656 1408.826514
-0.009629 0.000000 0.000000 419546.457709 899930.481538 444389.238975 1411.396830
-0.009608 0.000000 0.000000 419564.668238 906489.559487 444422.722110 1413.961547
-0.009587 0.000000 0.000000 419582.953987 913069.987945 444456.346292 1416.520664
-0.009566 0.000000 0.000000 419601.314263 919671.661674 444490.110000 1419.074181
-0.009545 0.000000 0.000000 419619.748372 926294.474492 444524.011666 1421.622098
-0.009524 0.000000 0.000000 419638.255617 932938.319273 444558.049773 1424.164415
-0.009503 0.000000 0.000000 419656.835299 939603.087953 444592.222595 1426.701133
-0.009482 0.000000 0.000000 419675.486719 946288.671534 444626.528663 1429.232251
-0.009461 0.000000 0.000000 419694.209174 952994.960088 444660.966480 1431.757768
-0.009439 0.000000 0.000000 419713.001963 959721.842762 444695.534419 1434.277687
-0.009418 0.000000 0.000000 419731.864379 966469.207782 444730.230921 1436.792005
-0.009398 0.000000 0.000000 419750.795717 973236.942458 444765.054490 1439.300723
-0.009377 0.000000 0.000000 419769.795268 980024.933186 444800.003691 1441.803842
-0.009356 0.000000 0.000000 419788.862322 986833.065456 444835.076827 1444.301361
-0.009335 0.000000 0.000000 419807.996168 993661.223852 444870.272473 1446.793280
-0.009314 0.000000 0.000000 419827.196093 1000509.292063 444905.589151 1449.279599
-0.009293 0.000000 0.000000 419846.461382 1007377.152879 444941.025357 1451.760318
-0.009272 0.000000 0.000000 419865.791320 1014264.688204 444976.579499 1454.235438
-0.009251 0.000000 0.000000 419885.185187 1021171.779054 445012.250150 1456.704958
-0.009230 0.000000 0.000000 419904.642265 1028098.305566 445048.035912 1459.168878
-0.009209 0.000000 0.000000 419924.161832 1035044.147001 445083.935142 1461.627198
-0.009188 0.000000 0.000000 419943.743166 1042009.181746 445119.946433 1464.079918
-0.009167 0.000000 0.000000 419963.385543 1048993.287323 445156.068344 1466.527038
-0.009146 0.000000 0.000000 419983.088236 1055996.340393 445192.299429 1468.968559
-0.009125 0.000000 0.000000 420002.850518 1063018.216757 445228.638111 1471.404480
-0.009104 0.000000 0.000000 420022.671660 1070058.791365 445265.083002 1473.834801
-0.009083 0.000000 0.000000 420042.550931 1077117.938319 445301.632736 1476.259522
-0.009062 0.000000 0.000000 420062.487600 1084195.530876 445338.285704 1478.678643
-0.009040 0.000000 0.000000 420082.480932 1091291.441458 445375.040529 1481.092165
-0.009019 0.000000 0.000000 420102.530192 1098405.541651 445411.895802 1483.500087
-0.008999 0.000000 0.000000 420122.634643 1105537.702213 445448.850094 1485.902409
-0.008978 0.000000 0.000000 420142.793547 1112687.793078 445485.901871 1488.299131
-0.008957 0.000000 0.000000 420163.006165 1119855.683361 445523.049765 1490.690253
-0.008936 0.000000 0.000000 420183.271753 1127041.241364 445560.292438 1493.075776
-0.008915 0.000000 0.000000 420203.589570 1134244.334579 445597.628296 1495.455698
-0.008894 0.000000 0.000000 420223.958872 1141464.829695 445635.056000 1497.830021
-0.008873 0.000000 0.000000 420244.378911 1148702.592602 445672.574179 1500.198744
-0.008852 0.000000 0.000000 420264.848941 1155957.488394 445710.181369 1502.561867
-0.008831 0.000000 0.000000 420285.368212 1163229.381378 445747.876118 1504.919391
-0.008810 0.000000 0.000000 420305.935974 1170518.135078 445785.657062 1507.271314
-0.008789 0.000000 0.000000 420326.551476 1177823.612236 445823.522869 1509.617638
-0.008768 0.000000 0.000000 420347.213963 1185145.674823 445861.471972 1511.958362
-0.008747 0.000000 0.000000 420367.922682 1192484.184041 445899.503056 1514.293486
-0.008726 0.000000 0.000000 420388.676875 1199839.000327 445937.614795 1516.623010
-0.008705 0.000000 0.000000 420409.475785 1207209.983362 445975.805656 1518.946935
-0.008684 0.000000 0.000000 420430.318652 1214596.992072 446014.074292 1521.265259
-0.008663 0.000000 0.000000 420451.204716 1221999.884637 446052.419352 1523.577984
-0.008641 0.000000 0.000000 420472.133216 1229418.518492 446090.839440 1525.885109
-0.008620 0.000000 0.000000 420493.103387 1236852.750336 446129.333086 1528.186634
-0.008600 0.000000 0.000000 420514.114465 1244302.436136 446167.898960 1530.482560
-0.008579 0.000000 0.000000 420535.165683 1251767.431132 446206.535754 1532.772885
-0.008558 0.000000 0.000000 420556.256274 1259247.589842 446245.241922 1535.057611
-0.008537 0.000000 0.000000 420577.385469 1266742.766069 446284.016166 1537.336737
-0.008516 0.000000 0.000000 420598.552497 1274252.812902 446322.857181 1539.610263
-0.008495 0.000000 0.000000 420619.756588 1281777.582729 446361.763444 1541.878189
-0.008474 0.000000 0.000000 420640.996967 1289316.927234 446400.733636 1544.140516
-0.008453 0.000000 0.000000 420662.272860 1296870.697408 446439.766436 1546.397243
-0.008432 0.000000 0.000000 420683.583492 1304438.743551 446478.860414 1548.648369
-0.008411 0.000000 0.000000 420704.928086 1312020.915283 446518.014165 1550.893896
-0.008390 0.000000 0.000000 420726.305864 1319617.061540 446557.226371 1553.133824
-0.008369 0.000000 0.000000 420747.716045 1327227.030589 446596.495698 1555.368151
-0.008348 0.000000 0.000000 420769.157848 1334850.670028 446635.820654 1557.596879
-0.008327 0.000000 0.000000 420790.630493 1342487.826793 446675.199938 1559.820006
-0.008306 0.000000 0.000000 420812.133195 1350138.347164 446714.632262 1562.037534
-0.008285 0.000000 0.000000 420833.665169 1357802.076768 446754.116097 1564.249462
-0.008264 0.000000 0.000000 420855.225630 1365478.860589 446793.650157 1566.455791
-0.008242 0.000000 0.000000 420876.813791 1373168.542969 446833.233156 1568.656519
-0.008221 0.000000 0.000000 420898.428862 1380870.967618 446872.863577 1570.851648
-0.008201 0.000000 0.000000 420920.070056 1388585.977614 446912.540125 1573.041177
-0.008180 0.000000 0.000000 420941.736580 1396313.415414 446952.261504 1575.225106
-0.008159 0.000000 0.000000 420963.427643 1404053.122857 446992.026241 1577.403435
-0.008138 0.000000 0.000000 420985.142452 1411804.941170 447031.833004 1579.576164
-0.008117 0.000000 0.000000 421006.880212 1419568.710973 447071.680490 1581.743294
-0.008096 0.000000 0.000000 421028.640128 1427344.272287 447111.567289 1583.904824
-0.008075 0.000000 0.000000 421050.421403 1435131.464535 447151.492010 1586.060753
-0.008054 0.000000 0.000000 421072.223241 1442930.126554 447191.453356 1588.211084
-0.008033 0.000000 0.000000 421094.044841 1450740.096595 447231.449970 1590.355814
-0.008012 0.000000 0.000000 421115.885404 1458561.212332 447271.480410 1592.494944
-0.007991 0.000000 0.000000 421137.744129 1466393.310867 447311.543384 1594.628475
-0.007970 0.000000 0.000000 421159.620214 1474236.228735 447351.637574 1596.756406
-0.007949 0.000000 0.000000 421181.512856 1482089.801911 447391.761504 1598.878737
-0.007928 0.000000 0.000000 421203.421250 1489953.865813 447431.913887 1600.995468
-0.007907 0.000000 0.000000 421225.344592 1497828.255313 447472.093425 1603.106599
-0.007886 0.000000 0.000000 421247.282075 1505712.804736 447512.298624 1605.212131
-0.007864 0.000000 0.000000 421269.232891 1513607.347873 447552.528202 1607.312063
-0.007843 0.000000 0.000000 421291.196233 1521511.717979 447592.780872 1609.406395
-0.007823 0.000000 0.000000 421313.171291 1529425.747788 447633.055129 1611.495127
-0.007802 0.000000 0.000000 421335.157255 1537349.269509 447673.349693 1613.578259
-0.007781 0.000000 0.000000 421357.153313 1545282.114839 447713.663283 1615.655792
-0.007760 0.000000 0.000000 421379.158655 1553224.114967 447753.994392 1617.727724
-0.007739 0.000000 0.000000 421401.172465 1561175.100578 447794.341740 1619.794057
-0.007718 0.000000 0.000000 421423.193931 1569134.901861 447834.704046 1621.854790
-0.007697 0.000000 0.000000 421445.222238 1577103.348513 447875.079803 1623.909923
-0.007676 0.000000 0.000000 421467.256569 1585080.269747 447915.467733 1625.959457
-0.007654 0.000000 0.000000 421489.296108 1593065.494297 447955.866555 1628.003390
-0.007634 0.000000 0.000000 421511.340038 1601058.850423 447996.274762 1630.041724
-0.007613 0.000000 0.000000 421533.387539 1609060.165917 448036.691075 1632.074458
-0.007592 0.000000 0.000000 421555.437794 1617069.268112 448077.114214 1634.101592
-0.007571 0.000000 0.000000 421577.489980 1625085.983883 448117.542673 1636.123126
-0.007550 0.000000 0.000000 421599.543279 1633110.139657 448157.975174 1638.139061
-0.007529 0.000000 0.000000 421621.596867 1641141.561416 448198.410431 1640.149396
-0.007508 0.000000 0.000000 421643.649923 1649180.074706 448238.846946 1642.154130
-0.007487 0.000000 0.000000 421665.701622 1657225.504640 448279.283439 1644.153265
-0.007466 0.000000 0.000000 421687.751142 1665277.675906 448319.718618 1646.146801
-0.007445 0.000000 0.000000 421709.797658 1673336.412772 448360.150992 1648.134736
-0.007424 0.000000 0.000000 421731.840343 1681401.539091 448400.579283 1650.117072
-0.007403 0.000000 0.000000 421753.878371 1689472.878311 448441.002186 1652.093807
-0.007382 0.000000 0.000000 421775.910917 1697550.253476 448481.418223 1654.064943
-0.007361 0.000000 0.000000 421797.937152 1705633.487234 448521.826121 1656.030479
-0.007340 0.000000 0.000000 421819.956247 1713722.401845 448562.224548 1657.990416
-0.007319 0.000000 0.000000 421841.967374 1721816.819183 448602.612052 1659.944752
-0.007298 0.000000 0.000000 421863.969704 1729916.560747 448642.987365 1661.893489
-0.007276 0.000000 0.000000 421885.962406 1738021.447662 448683.349114 1663.836626
-0.007255 0.000000 0.000000 421907.944650 1746131.300687 448723.695889 1665.774163
-0.007235 0.000000 0.000000 421929.915603 1754245.940224 448764.026427 1667.706100
-0.007214 0.000000 0.000000 421951.874435 1762365.186319 448804.339296 1669.632437
-0.007193 0.000000 0.000000 421973.820312 1770488.858672 448844.633146 1671.553175
-0.007172 0.000000 0.000000 421995.752402 1778616.776639 448884.906707 1673.468313
-0.007151 0.000000 0.000000 422017.669870 1786748.759243 448925.158506 1675.377851
-0.007130 0.000000 0.000000 422039.571884 1794884.625176 448965.387235 1677.281789
-0.007109 0.000000 0.000000 422061.457607 1803024.192809 449005.591617 1679.180127
-0.007088 0.000000 0.000000 422083.326205 1811167.280193 449045.770157 1681.072865
-0.007067 0.000000 0.000000 422105.176843 1819313.705070 449085.921570 1682.960004
-0.007046 0.000000 0.000000 422127.008684 1827463.284874 449126.044566 1684.841543
-0.007025 0.000000 0.000000 422148.820892 1835615.836742 449166.137656 1686.717482
-0.007004 0.000000 0.000000 422170.612630 1843771.177519 449206.199568 1688.587821
-0.006983 0.000000 0.000000 422192.383061 1851929.123762 449246.228971 1690.452561
-0.006962 0.000000 0.000000 422214.131346 1860089.491745 449286.224418 1692.311700
-0.006941 0.000000 0.000000 422235.856649 1868252.097471 449326.184651 1694.165240
-0.006920 0.000000 0.000000 422257.558129 1876416.756673 449366.108254 1696.013180
-0.006899 0.000000 0.000000 422279.234950 1884583.284819 449405.993866 1697.855520
-0.006877 0.000000 0.000000 422300.886270 1892751.497125 449445.840223 1699.692260
-0.006856 0.000000 0.000000 422322.511252 1900921.208554 449485.645845 1701.523401
-0.006836 0.000000 0.000000 422344.109055 1909092.233824 449525.409435 1703.348941
-0.006815 0.000000 0.000000 422365.678840 1917264.387417 449565.129709 1705.168882
-0.006794 0.000000 0.000000 422387.219765 1925437.483582 449604.805178 1706.983223
-0.006773 0.000000 0.000000 422408.730991 1933611.336342 449644.434572 1708.791965
-0.006752 0.000000 0.000000 422430.211676 1941785.759500 449684.016555 1710.595106
-0.006731 0.000000 0.000000 422451.660981 1949960.566645 449723.549691 1712.392648
-0.006710 0.000000 0.000000 422473.078062 1958135.571160 449763.032731 1714.184589
-0.006689 0.000000 0.000000 422494.462080 1966310.586224 449802.464227 1715.970931
-0.006668 0.000000 0.000000 422515.812193 1974485.424824 449841.842856 1717.751673
