x           y           z           G           L           T
0.005000 0.000000 0.000100 2789760.857482 2821725.270147 1878.129694
0.015000 0.000000 0.000100 2763152.513375 2737417.303525 1863.940948
0.025000 0.000000 0.000100 2739692.193091 2739280.150861 1864.257976
0.035000 0.000000 0.000100 2717601.594367 2716924.858873 1860.442723
0.045000 0.000000 0.000100 2696448.399644 2696106.843123 1856.868598
0.055000 0.000000 0.000100 2675992.863578 2675777.358200 1853.358315
0.065000 0.000000 0.000100 2656086.174979 2655939.993481 1849.913671
0.075000 0.000000 0.000100 2636626.783857 2636526.466985 1846.523891
0.085000 0.000000 0.000100 2617541.229957 2617471.429260 1843.178453
0.095000 0.000000 0.000100 2598774.168983 2598722.932086 1839.868957
0.105000 0.000000 0.000100 2580282.576878 2580241.023367 1836.588946
0.115000 0.000000 0.000100 2562032.144047 2561994.228136 1833.333330
0.125000 0.000000 0.000100 2543994.927015 2543956.945112 1830.097958
0.135000 0.000000 0.000100 2526147.761739 2526107.777003 1826.879347
0.145000 0.000000 0.000100 2508471.156950 2508428.461226 1823.674507
0.155000 0.000000 0.000100 2490948.500700 2490903.170358 1820.480824
0.165000 0.000000 0.000100 2473565.477590 2473518.035856 1817.295987
0.175000 0.000000 0.000100 2456309.631584 2456260.808719 1814.117935
0.185000 0.000000 0.000100 2439170.031861 2439120.606294 1810.944814
0.195000 0.000000 0.000100 2422137.013125 2422087.714846 1807.774949
0.205000 0.000000 0.000100 2405201.970768 2405153.429619 1804.606818
0.215000 0.000000 0.000100 2388357.197101 2388309.921517 1801.439030
0.225000 0.000000 0.000100 2371595.748841 2371550.123850 1798.270311
0.235000 0.000000 0.000100 2354911.338711 2354867.635098 1795.099486
0.245000 0.000000 0.000100 2338298.245898 2338256.634990 1791.925464
0.255000 0.000000 0.000100 2321751.241412 2321711.811921 1788.747233
0.265000 0.000000 0.000100 2305265.525365 2305228.300108 1785.563842
0.275000 0.000000 0.000100 2288836.673880 2288801.625167 1782.374399
0.285000 0.000000 0.000100 2272460.593819 2272427.656918 1779.178057
0.295000 0.000000 0.000100 2256133.483951 2256102.568425 1775.974015
0.305000 0.000000 0.000100 2239851.801422 2239822.800364 1772.761505
0.315000 0.000000 0.000100 2223612.232653 2223585.029976 1769.539790
0.325000 0.000000 0.000100 2207411.667929 2207386.143939 1766.308160
0.335000 0.000000 0.000100 2191247.179097 2191223.214593 1763.065927
0.345000 0.000000 0.000100 2175115.999895 2175093.479057 1759.812422
0.355000 0.000000 0.000100 2159015.508504 2158994.320799 1756.546990
0.365000 0.000000 0.000100 2142943.212003 2142923.253332 1753.268990
0.375000 0.000000 0.000100 2126896.732437 2126877.905711 1749.977791
0.385000 0.000000 0.000100 2110873.794274 2110856.009576 1746.672769
0.395000 0.000000 0.000100 2094872.213046 2094855.387513 1743.353304
0.405000 0.000000 0.000100 2078889.885012 2078873.942532 1740.018782
0.415000 0.000000 0.000100 2062924.777684 2062909.648496 1736.668588
0.425000 0.000000 0.000100 2046974.921107 2046960.541349 1733.302107
0.435000 0.000000 0.000100 2031038.399767 2031024.711017 1729.918723
0.445000 0.000000 0.000100 2015113.345044 2015100.293873 1726.517814
0.455000 0.000000 0.000100 1999197.928115 1999185.465669 1723.098755
0.465000 0.000000 0.000100 1983290.353231 1983278.434850 1719.660911
0.475000 0.000000 0.000100 1967388.851312 1967377.436176 1716.203640
0.485000 0.000000 0.000100 1951491.673772 1951480.724590 1712.726288
0.495000 0.000000 0.000100 1935597.086543 1935586.569261 1709.228191
0.505000 0.000000 0.000100 1919703.364222 1919693.247764 1705.708668
0.515000 0.000000 0.000100 1903808.784297 1903799.040325 1702.167026
0.525000 0.000000 0.000100 1887911.621399 1887902.224089 1698.602550
0.535000 0.000000 0.000100 1872010.141530 1872001.067368 1695.014510
0.545000 0.000000 0.000100 1856102.596215 1856093.823803 1691.402151
0.555000 0.000000 0.000100 1840187.216518 1840178.726401 1687.764698
0.565000 0.000000 0.000100 1824262.206887 1824253.981375 1684.101346
0.575000 0.000000 0.000100 1808325.738741 1808317.761761 1680.411265
0.585000 0.000000 0.000100 1792375.943759 1792368.200706 1676.693593
0.595000 0.000000 0.000100 1776410.906797 1776403.384397 1672.947434
0.605000 0.000000 0.000100 1760428.658345 1760421.344531 1669.171857
0.615000 0.000000 0.000100 1744427.166455 1744420.050249 1665.365888
0.625000 0.000000 0.000100 1728404.328037 1728397.399447 1661.528512
0.635000 0.000000 0.000100 1712357.959410 1712351.209329 1657.658666
0.645000 0.000000 0.000100 1696285.785990 1696279.206110 1653.755234
0.655000 0.000000 0.000100 1680185.430966 1680179.013695 1649.817045
0.665000 0.000000 0.000100 1664054.402792 1664048.141181 1645.842864
0.675000 0.000000 0.000100 1647890.081304 1647883.968981 1641.831389
0.685000 0.000000 0.000100 1631689.702217 1631683.733326 1637.781244
0.695000 0.000000 0.000100 1615450.339729 1615444.508879 1633.690969
0.705000 0.000000 0.000100 1599168.886902 1599163.189116 1629.559015
0.715000 0.000000 0.000100 1582842.033405 1582836.464078 1625.383733
0.725000 0.000000 0.000100 1566466.240145 1566460.795000 1621.163360
0.735000 0.000000 0.000100 1550037.710174 1550032.385234 1616.896013
0.745000 0.000000 0.000100 1533552.355158 1533547.146709 1612.579670
0.755000 0.000000 0.000100 1517005.756485 1517000.661050 1608.212153
0.765000 0.000000 0.000100 1500393.119879 1500388.134190 1603.791112
0.775000 0.000000 0.000100 1483709.222095 1483704.343073 1599.314001
0.785000 0.000000 0.000100 1466948.347875 1466943.572607 1594.778049
0.795000 0.000000 0.000100 1450104.214822 1450099.540540 1590.180234
0.805000 0.000000 0.000100 1433169.883162 1433165.307233 1585.517241
0.815000 0.000000 0.000100 1416137.646418 1416133.166320 1580.785417
0.825000 0.000000 0.000100 1398998.897671 1398994.510982 1575.980719
0.835000 0.000000 0.000100 1381743.964268 1381739.668657 1571.098644
0.845000 0.000000 0.000100 1364361.901171 1364357.694379 1566.134146
0.855000 0.000000 0.000100 1346840.229241 1346836.109074 1561.081529
0.865000 0.000000 0.000100 1329164.599029 1329160.563348 1555.934315
0.875000 0.000000 0.000100 1311318.351762 1311314.398470 1550.685067
0.885000 0.000000 0.000100 1293281.935340 1293278.062375 1545.325158
0.895000 0.000000 0.000100 1275032.110626 1275028.315949 1539.844459
0.905000 0.000000 0.000100 1256540.845447 1256537.127036 1534.230911
0.915000 0.000000 0.000100 1237773.727720 1237770.083552 1528.469907
0.925000 0.000000 0.000100 1218687.608659 1218684.036706 1522.543389
0.935000 0.000000 0.000100 1199226.954816 1199223.453026 1516.428456
0.945000 0.000000 0.000100 1179317.902111 1179314.468391 1510.095119
0.955000 0.000000 0.000100 1158857.855727 1158854.487912 1503.502394
0.965000 0.000000 0.000100 1137695.239221 1137691.935032 1496.590786
0.975000 0.000000 0.000100 1115582.898269 1115579.655231 1489.265208
0.985000 0.000000 0.000100 1092044.096877 1092040.912120 1481.346394
0.995000 0.000000 0.000100 1065892.364919 1065889.234582 1472.396974
