x           y           z           G           L           A           T
-0.009900 0.000000 0.000000 425311.730573 675929.382886 439904.265050 1313.930000
-0.009700 0.000000 0.000000 427036.220842 734187.129972 440168.648309 1341.370000
-0.009500 0.000000 0.000000 428835.474104 794829.977336 440450.893648 1368.250000
-0.009300 0.000000 0.000000 430706.842658 857775.593073 440749.282764 1394.570000
-0.009100 0.000000 0.000000 432647.356634 922931.464298 441062.211226 1420.330000
-0.008900 0.000000 0.000000 434653.735865 990195.271800 441388.162756 1445.530000
-0.008700 0.000000 0.000000 436722.402763 1059455.296792 441725.687964 1470.170000
-0.008500 0.000000 0.000000 438849.496136 1130590.857186 442073.387951 1494.250000
-0.008300 0.000000 0.000000 441030.885868 1203472.770849 442429.900820 1517.770000
-0.008100 0.000000 0.000000 443262.188366 1277963.843373 442793.891197 1540.730000
-0.007900 0.000000 0.000000 445538.782721 1353919.377951 443164.042001 1563.130000
-0.007700 0.000000 0.000000 447855.827487 1431187.704978 443539.048201 1584.970000
-0.007500 0.000000 0.000000 450208.278022 1509610.729096 443917.612136 1606.250000
-0.007300 0.000000 0.000000 452590.904307 1589024.491415 444298.440240 1626.970000
-0.007100 0.000000 0.000000 454998.309185 1669259.744732 444680.240671 1647.130000
-0.006900 0.000000 0.000000 457424.946937 1750142.539606 445061.722171 1666.730000
-0.006700 0.000000 0.000000 459865.142151 1831494.819205 445441.593558 1685.770000
-0.006500 0.000000 0.000000 462313.108797 1913135.020920 445818.563565 1704.250000
-0.006300 0.000000 0.000000 464762.969457 1994878.682748 446191.341689 1722.170000
-0.006100 0.000000 0.000000 467208.774659 2076539.052567 446558.639223 1739.530000
-0.005900 0.000000 0.000000 469644.522228 2157927.698425 446919.170448 1756.330000
-0.005700 0.000000 0.000000 472064.176630 2238855.118050 447271.654485 1772.570000
-0.005500 0.000000 0.000000 474461.688229 2319131.345845 447614.817103 1788.250000
-0.005300 0.000000 0.000000 476831.012415 2398566.555674 447947.392783 1803.370000
-0.005100 0.000000 0.000000 479166.128546 2476971.657815 448268.126981 1817.930000
-0.004900 0.000000 0.000000 481461.058665 2554158.888504 448575.778168 1831.930000
-0.004700 0.000000 0.000000 483709.885923 2629942.390545 448869.120512 1845.370000
-0.004500 0.000000 0.000000 485906.772682 2704138.783544 449146.945858 1858.250000
-0.004300 0.000000 0.000000 488045.978243 2776567.722340 449408.066421 1870.570000
-0.004100 0.000000 0.000000 490121.876158 2847052.442299 449651.316770 1882.330000
-0.003900 0.000000 0.000000 492128.971084 2915420.290169 449875.556250 1893.530000
-0.003700 0.000000 0.000000 494061.915143 2981503.239269 450079.671110 1904.170000
-0.003500 0.000000 0.000000 495915.523743 3045138.387823 450262.576486 1914.250000
-0.003300 0.000000 0.000000 497684.790838 3106168.439319 450423.218282 1923.770000
-0.003100 0.000000 0.000000 499364.903572 3164442.163826 450560.574979 1932.730000
-0.002900 0.000000 0.000000 500951.256299 3219814.839251 450673.659025 1941.130000
-0.002700 0.000000 0.000000 502439.463927 3272148.671596 450761.518146 1948.970000
-0.002500 0.000000 0.000000 503825.374574 3321313.193291 450823.236375 1956.250000
-0.002300 0.000000 0.000000 505105.081494 3367185.638787 450857.934636 1962.970000
-0.002100 0.000000 0.000000 506274.934265 3409651.296598 450864.771123 1969.130000
-0.001900 0.000000 0.000000 507331.549197 3448603.837084 450842.941087 1974.730000
-0.001700 0.000000 0.000000 508271.818958 3483945.615280 450791.676257 1979.770000
-0.001500 0.000000 0.000000 509092.921377 3515587.948167 450710.243596 1984.250000
-0.001300 0.000000 0.000000 509792.327424 3543451.365813 450597.943442 1988.170000
-0.001100 0.000000 0.000000 510367.808349 3567465.835891 450454.106723 1991.530000
-0.000900 0.000000 0.000000 510817.441946 3587570.961108 450278.091425 1994.330000
-0.000700 0.000000 0.000000 511139.617960 3603716.149165 450069.277866 1996.570000
-0.000500 0.000000 0.000000 511333.042600 3615860.754903 449827.062574 1998.250000
-0.000300 0.000000 0.000000 511396.742163 3623974.194360 449550.850801 1999.370000
-0.000100 0.000000 0.000000 511330.065761 3628036.030509 449240.047080 1999.930000
0.000100 0.000000 0.000000 511119.009996 3627600.670540 448894.048162 1999.870000
0.000300 0.000000 0.000000 510681.659413 3620060.654805 448512.280857 1998.830000
0.000500 0.000000 0.000000 510005.451706 3605015.891489 448094.348332 1996.750000
0.000700 0.000000 0.000000 509092.611460 3582536.733470 447640.085198 1993.630000
0.000900 0.000000 0.000000 507946.461436 3552728.252185 447149.539416 1989.470000
0.001100 0.000000 0.000000 506571.405262 3515729.690028 446622.959984 1984.270000
0.001300 0.000000 0.000000 504972.904456 3471713.733355 446060.785638 1978.030000
0.001500 0.000000 0.000000 503157.449856 3420885.608742 445463.634009 1970.750000
0.001700 0.000000 0.000000 501132.527580 3363482.005848 444832.291267 1962.430000
0.001900 0.000000 0.000000 498906.579623 3299769.830908 444167.702092 1953.070000
0.002100 0.000000 0.000000 496488.959259 3230044.795510 443470.959550 1942.670000
0.002300 0.000000 0.000000 493889.881398 3154629.846025 442743.295083 1931.230000
0.002500 0.000000 0.000000 491120.368106 3073873.439702 441986.068343 1918.750000
0.002700 0.000000 0.000000 488192.189492 2988147.674108 441200.756968 1905.230000
0.002900 0.000000 0.000000 485117.800186 2897846.277274 440388.946034 1890.670000
0.003100 0.000000 0.000000 481910.271684 2803382.466566 439552.317471 1875.070000
