x           y           z           G           L           T
0.010000 0.000000 0.000100 2776487.510158 2807931.365241 1875.830182
0.030000 0.000000 0.000100 2728331.042847 2705810.838766 1858.537187
0.050000 0.000000 0.000100 2686062.347045 2685793.831018 1855.090346
0.070000 0.000000 0.000100 2646248.045684 2645443.972361 1848.083286
0.090000 0.000000 0.000100 2608070.844250 2607539.502718 1841.427486
0.110000 0.000000 0.000100 2571084.406490 2570688.305106 1834.886700
0.130000 0.000000 0.000100 2535008.711650 2534696.034994 1828.430127
0.150000 0.000000 0.000100 2499655.494703 2499399.958069 1822.031315
0.170000 0.000000 0.000100 2464890.126337 2464675.963105 1815.669736
0.190000 0.000000 0.000100 2430611.948404 2430429.152182 1809.329394
0.210000 0.000000 0.000100 2396743.052967 2396585.009697 1802.997427
0.230000 0.000000 0.000100 2363221.433373 2363083.529040 1796.663171
0.250000 0.000000 0.000100 2329996.580470 2329875.408850 1790.317561
0.270000 0.000000 0.000100 2297026.526420 2296919.454035 1783.952714
0.290000 0.000000 0.000100 2264275.786907 2264180.709036 1777.561636
0.310000 0.000000 0.000100 2231713.883774 2231629.078786 1771.137997
0.330000 0.000000 0.000100 2199314.255569 2199238.292201 1764.675960
0.350000 0.000000 0.000100 2167053.434641 2166985.110054 1758.170055
0.370000 0.000000 0.000100 2134910.411562 2134848.708113 1751.615070
0.390000 0.000000 0.000100 2102866.133660 2102810.187163 1745.005963
0.410000 0.000000 0.000100 2070903.100813 2070852.175937 1738.337792
0.430000 0.000000 0.000100 2039005.032431 2038958.502725 1731.605649
0.450000 0.000000 0.000100 2007156.586582 2007113.917778 1724.804604
0.470000 0.000000 0.000100 1975343.116984 1975303.852809 1717.929649
0.490000 0.000000 0.000100 1943550.456785 1943514.206850 1710.975643
0.510000 0.000000 0.000100 1911764.720171 1911731.149618 1703.937266
0.530000 0.000000 0.000100 1879972.114181 1879940.934876 1696.808958
0.550000 0.000000 0.000100 1848158.753878 1848129.716947 1689.584862
0.570000 0.000000 0.000100 1816310.474233 1816283.363797 1682.258760
0.590000 0.000000 0.000100 1784412.631870 1784387.259818 1674.824000
0.610000 0.000000 0.000100 1752449.889055 1752426.090713 1667.273413
0.630000 0.000000 0.000100 1720405.970965 1720383.601527 1659.599215
0.650000 0.000000 0.000100 1688263.385146 1688242.316731 1651.792891
0.670000 0.000000 0.000100 1656003.088869 1655983.208095 1643.845054
0.690000 0.000000 0.000100 1623604.085314 1623585.291289 1635.745274
0.710000 0.000000 0.000100 1591042.922433 1591025.125072 1627.481860
0.730000 0.000000 0.000100 1558293.057586 1558276.176201 1619.041590
0.750000 0.000000 0.000100 1525324.034560 1525307.996654 1610.409352
0.770000 0.000000 0.000100 1492100.393454 1492085.133696 1601.567687
0.790000 0.000000 0.000100 1458580.191490 1458565.650830 1592.496156
0.810000 0.000000 0.000100 1424712.941244 1424699.066140 1583.170476
0.830000 0.000000 0.000100 1390436.646955 1390423.388699 1573.561290
0.850000 0.000000 0.000100 1355673.387103 1355660.701225 1563.632357
0.870000 0.000000 0.000100 1320322.434900 1320310.280625 1553.337756
0.890000 0.000000 0.000100 1284248.941501 1284237.281249 1542.617364
0.910000 0.000000 0.000100 1247263.951316 1247252.750196 1531.388970
0.930000 0.000000 0.000100 1209085.561362 1209074.786623 1519.533183
0.950000 0.000000 0.000100 1169252.458560 1169242.078855 1506.860353
0.970000 0.000000 0.000100 1126883.484218 1126873.468302 1493.020207
0.990000 0.000000 0.000100 1079572.519361 1079562.831995 1477.096531
