x           y           z           G           L           T
0.002500 0.000000 0.000100 2797476.709928 2844155.146891 1881.850930
0.007500 0.000000 0.000100 2783177.243866 2809443.623352 1876.082695
0.012500 0.000000 0.000100 2769959.507127 2778653.347944 1870.921172
0.017500 0.000000 0.000100 2757499.191144 2755244.082379 1866.968183
0.022500 0.000000 0.000100 2745604.844794 2737991.539397 1864.038691
0.027500 0.000000 0.000100 2734150.010461 2724844.496245 1861.797007
0.032500 0.000000 0.000100 2723045.138447 2714100.454915 1859.959025
0.037500 0.000000 0.000100 2712224.369495 2704594.606233 1858.328304
0.042500 0.000000 0.000100 2701638.309711 2695610.468115 1856.783126
0.047500 0.000000 0.000100 2691249.507124 2686747.719313 1855.255037
0.052500 0.000000 0.000100 2681029.334288 2677810.869268 1853.710339
0.057500 0.000000 0.000100 2670955.719244 2668728.440613 1852.136512
0.062500 0.000000 0.000100 2661011.452798 2659498.148781 1850.532941
0.067500 0.000000 0.000100 2651182.918034 2650151.431325 1848.904885
0.072500 0.000000 0.000100 2641459.141407 2640731.632672 1847.259736
0.077500 0.000000 0.000100 2631831.092054 2631281.536677 1845.604867
0.082500 0.000000 0.000100 2622291.172255 2621837.110235 1843.946532
0.087500 0.000000 0.000100 2612832.853164 2612425.202821 1842.289443
0.092500 0.000000 0.000100 2603450.418772 2603063.599767 1840.636763
0.097500 0.000000 0.000100 2594138.788453 2593762.315845 1838.990312
0.102500 0.000000 0.000100 2584893.394877 2584525.386022 1837.350864
0.107500 0.000000 0.000100 2575710.099640 2575352.689300 1835.718461
0.112500 0.000000 0.000100 2566585.133649 2566241.546813 1834.092691
0.117500 0.000000 0.000100 2557515.053147 2557187.979432 1832.472900
0.122500 0.000000 0.000100 2548496.705257 2548187.604670 1830.858358
0.127500 0.000000 0.000100 2539527.199219 2539236.208294 1829.248354
0.132500 0.000000 0.000100 2530603.881033 2530330.053159 1827.642256
0.137500 0.000000 0.000100 2521724.310376 2521465.995348 1826.039535
0.142500 0.000000 0.000100 2512886.239246 2512641.473140 1824.439760
0.147500 0.000000 0.000100 2504087.592222 2503854.423460 1822.842585
0.152500 0.000000 0.000100 2495326.448354 2495103.167235 1821.247733
0.157500 0.000000 0.000100 2486601.024757 2486386.292121 1819.654970
0.162500 0.000000 0.000100 2477909.661941 2477702.549895 1818.064092
0.167500 0.000000 0.000100 2469250.810883 2469050.776932 1816.474906
0.172500 0.000000 0.000100 2460623.021733 2460429.839895 1814.887225
0.177500 0.000000 0.000100 2452024.934060 2451838.604605 1813.300858
0.182500 0.000000 0.000100 2443455.268447 2443275.923840 1811.715609
0.187500 0.000000 0.000100 2434912.819268 2434740.638899 1810.131281
0.192500 0.000000 0.000100 2426396.448455 2426231.589866 1808.547670
0.197500 0.000000 0.000100 2417905.080097 2417747.630155 1806.964577
0.202500 0.000000 0.000100 2409437.695693 2409287.641913 1805.381802
0.207500 0.000000 0.000100 2400993.329949 2400850.549819 1803.799154
0.212500 0.000000 0.000100 2392571.066998 2392435.331854 1802.216449
0.217500 0.000000 0.000100 2384170.036965 2384041.026363 1800.633511
0.222500 0.000000 0.000100 2375789.412816 2375666.735378 1799.050177
0.227500 0.000000 0.000100 2367428.407436 2367311.624593 1797.466293
0.232500 0.000000 0.000100 2359086.270920 2358974.920629 1795.881713
0.237500 0.000000 0.000100 2350762.288041 2350655.906332 1794.296304
0.242500 0.000000 0.000100 2342455.775895 2342353.914855 1792.709938
0.247500 0.000000 0.000100 2334166.081700 2334068.323190 1791.122495
0.252500 0.000000 0.000100 2325892.580756 2325798.545710 1789.533863
0.257500 0.000000 0.000100 2317634.674545 2317544.028120 1787.943932
0.262500 0.000000 0.000100 2309391.788988 2309304.242107 1786.352596
0.267500 0.000000 0.000100 2301163.372819 2301078.680835 1784.759755
0.272500 0.000000 0.000100 2292948.896103 2292866.855331 1783.165308
0.277500 0.000000 0.000100 2284747.848864 2284668.291728 1781.569158
0.282500 0.000000 0.000100 2276559.739833 2276482.529284 1779.971209
0.287500 0.000000 0.000100 2268384.095286 2268309.119048 1778.371365
0.292500 0.000000 0.000100 2260220.457989 2260147.623040 1776.769534
0.297500 0.000000 0.000100 2252068.386212 2251997.613815 1775.165622
0.302500 0.000000 0.000100 2243927.452830 2243858.674274 1773.559538
0.307500 0.000000 0.000100 2235797.244482 2235730.397628 1771.951192
0.312500 0.000000 0.000100 2227677.360793 2227612.387425 1770.340494
0.317500 0.000000 0.000100 2219567.413648 2219504.257568 1768.727356
0.322500 0.000000 0.000100 2211467.026516 2211405.632297 1767.111691
0.327500 0.000000 0.000100 2203375.833809 2203316.146089 1765.493413
0.332500 0.000000 0.000100 2195293.480285 2195235.443483 1763.872437
0.337500 0.000000 0.000100 2187219.620485 2187163.178826 1762.248679
0.342500 0.000000 0.000100 2179153.918197 2179099.015936 1760.622057
0.347500 0.000000 0.000100 2171096.045951 2171042.627713 1758.992489
0.352500 0.000000 0.000100 2163045.684543 2162993.695710 1757.359893
0.357500 0.000000 0.000100 2155002.522578 2154951.909666 1755.724191
0.362500 0.000000 0.000100 2146966.256042 2146916.967033 1754.085301
0.367500 0.000000 0.000100 2138936.587886 2138888.572505 1752.443146
0.372500 0.000000 0.000100 2130913.227642 2130866.437551 1750.797648
0.377500 0.000000 0.000100 2122895.891047 2122850.279975 1749.148728
0.382500 0.000000 0.000100 2114884.299693 2114839.823489 1747.496309
0.387500 0.000000 0.000100 2106878.180682 2106834.797323 1745.840315
0.392500 0.000000 0.000100 2098877.266311 2098834.935850 1744.180667
0.397500 0.000000 0.000100 2090881.293758 2090839.978250 1742.517290
0.402500 0.000000 0.000100 2082890.004787 2082849.668189 1740.850107
0.407500 0.000000 0.000100 2074903.145467 2074863.753520 1739.179042
0.412500 0.000000 0.000100 2066920.465899 2066881.986012 1737.504017
0.417500 0.000000 0.000100 2058941.719951 2058904.121086 1735.824956
0.422500 0.000000 0.000100 2050966.665010 2050929.917567 1734.141783
0.427500 0.000000 0.000100 2042995.061738 2042959.137456 1732.454420
